Asana Price to Free Cash Flow Ratio Historical Data,Asana Price to Free Cash Flow Ratio Historical Data,Asana Price to Free Cash Flow Ratio Historical Data,Asana Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.18,,0.0
2024-07-31,14.55,$-0.09,0.0
2024-04-30,14.87,$-0.08,0.0
2024-01-31,17.42,$-0.14,0.0
2023-10-31,18.47,$-0.25,0.0
2023-07-31,24.28,$-0.41,0.0
2023-04-30,16.18,$-0.69,0.0
2023-01-31,15.5,$-0.84,0.0
2022-10-31,20.6,$-0.91,0.0
2022-07-31,19.32,$-0.89,0.0
2022-04-30,26.8,$-0.79,0.0
2022-01-31,52.48,$-0.72,0.0
2021-10-31,135.8,$-0.43,0.0
2021-07-31,71.06,$-1.21,0.0
