C3.ai Price to Free Cash Flow Ratio Historical Data,C3.ai Price to Free Cash Flow Ratio Historical Data,C3.ai Price to Free Cash Flow Ratio Historical Data,C3.ai Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.93,,0.0
2024-07-31,26.75,$-0.62,0.0
2024-04-30,22.53,$-0.76,0.0
2024-01-31,24.78,$-0.77,0.0
2023-10-31,24.4,$-1.03,0.0
2023-07-31,42.0,$-1.27,0.0
2023-04-30,17.82,$-1.70,0.0
2023-01-31,19.85,$-1.98,0.0
2022-10-31,13.11,$-1.89,0.0
2022-07-31,18.41,$-1.38,0.0
2022-04-30,16.99,$-0.87,0.0
2022-01-31,26.34,$-1.22,0.0
2021-10-31,45.12,$-0.78,0.0
