VinFast Auto Price to Free Cash Flow Ratio Historical Data,VinFast Auto Price to Free Cash Flow Ratio Historical Data,VinFast Auto Price to Free Cash Flow Ratio Historical Data,VinFast Auto Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.75,,0.0
2024-06-30,4.3,$-1.76,0.0
2024-03-31,4.97,$-1.64,0.0
2023-12-31,8.37,$-1.41,0.0
2023-09-30,12.5,$-1.32,0.0
2023-06-30,10.33,$-0.32,0.0
2023-03-31,10.27,$-0.35,0.0
2022-12-31,10.0,$-0.50,0.0
2022-09-30,9.79,$-0.21,0.0
2022-06-30,9.69,$-0.32,0.0
