NextNav Price to Free Cash Flow Ratio Historical Data,NextNav Price to Free Cash Flow Ratio Historical Data,NextNav Price to Free Cash Flow Ratio Historical Data,NextNav Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.25,,0.0
2024-06-30,8.11,$-0.35,0.0
2024-03-31,6.58,$-0.34,0.0
2023-12-31,4.45,$-0.35,0.0
2023-09-30,5.14,$-0.38,0.0
2023-06-30,2.94,$-0.40,0.0
2023-03-31,2.03,$-0.41,0.0
2022-12-31,2.93,$-0.40,0.0
2022-09-30,2.69,$1.78,1.51
2022-06-30,2.27,$0.82,2.76
2022-03-31,7.49,$-0.87,0.0
2021-12-31,8.76,$-2.08,0.0
2021-09-30,10.12,$-4.12,0.0
