Datadog Price to Free Cash Flow Ratio Historical Data,Datadog Price to Free Cash Flow Ratio Historical Data,Datadog Price to Free Cash Flow Ratio Historical Data,Datadog Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,116.26,,63.48
2024-06-30,129.69,$1.83,70.81
2024-03-31,123.6,$1.87,66.23
2023-12-31,121.38,$1.71,71.15
2023-09-30,91.09,$1.43,63.48
2023-06-30,98.38,$1.32,74.65
2023-03-31,72.66,$1.11,65.49
2022-12-31,73.5,$1.12,65.58
2022-09-30,88.78,$1.16,76.48
2022-06-30,95.24,$1.13,84.08
2022-03-31,151.47,$1.04,145.49
2021-12-31,178.11,$0.81,219.73
2021-09-30,141.35,$0.52,271.51
2021-06-30,104.08,$0.44,234.36
2021-03-31,83.34,$0.36,229.33
2020-12-31,98.44,$0.28,355.38
2020-09-30,102.16,$0.32,316.68
2020-06-30,86.95,$0.12,722.78
