Align Technology Price to Free Cash Flow Ratio Historical Data,Align Technology Price to Free Cash Flow Ratio Historical Data,Align Technology Price to Free Cash Flow Ratio Historical Data,Align Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,237.22,,44.57
2024-06-30,241.43,$5.32,45.37
2024-03-31,327.92,$6.44,50.94
2023-12-31,274.0,$7.94,34.5
2023-09-30,305.32,$8.90,34.3
2023-06-30,353.64,$7.89,44.8
2023-03-31,334.14,$6.01,55.61
2022-12-31,210.9,$3.53,59.74
2022-09-30,207.11,$4.41,46.97
2022-06-30,236.67,$4.87,48.55
2022-03-31,436.0,$6.66,65.44
2021-12-31,657.18,$9.68,67.87
2021-09-30,665.43,$11.78,56.47
2021-06-30,611.0,$11.27,54.2
2021-03-31,541.53,$9.16,59.09
2020-12-31,534.38,$6.40,83.47
2020-09-30,327.36,$4.44,73.8
2020-06-30,274.44,$4.67,58.79
2020-03-31,173.95,$5.99,29.06
2019-12-31,279.04,$7.46,37.4
2019-09-30,180.92,$7.58,23.85
2019-06-30,273.7,$5.48,49.96
2019-03-31,284.33,$4.85,58.67
2018-12-31,209.43,$4.07,51.42
2018-09-30,391.22,$2.91,134.57
2018-06-30,342.14,$3.24,105.7
2018-03-31,251.13,$3.36,74.83
2017-12-31,222.19,$2.97,74.87
2017-09-30,186.27,$2.65,70.18
2017-06-30,150.12,$2.32,64.73
2017-03-31,114.71,$1.90,60.44
2016-12-31,96.13,$2.17,44.23
2016-09-30,93.75,$2.11,44.36
2016-06-30,80.55,$2.21,36.47
2016-03-31,72.69,$2.15,33.84
2015-12-31,65.85,$2.26,29.09
2015-09-30,56.76,$2.28,24.87
2015-06-30,62.71,$2.41,26.02
2015-03-31,53.79,$2.55,21.07
2014-12-31,55.91,$2.46,22.68
2014-09-30,51.68,$2.44,21.21
2014-06-30,56.04,$2.30,24.37
2014-03-31,51.79,$2.11,24.49
2013-12-31,57.14,$2.02,28.33
2013-09-30,48.1,$1.78,26.97
2013-06-30,37.04,$1.61,23.06
2013-03-31,33.51,$1.27,26.35
2012-12-31,27.75,$1.15,24.14
2012-09-30,36.97,$1.11,33.21
2012-06-30,33.46,$0.97,34.41
2012-03-31,27.55,$1.00,27.52
2011-12-31,23.73,$1.25,19.04
2011-09-30,15.17,$1.10,13.73
2011-06-30,22.8,$1.23,18.52
2011-03-31,20.48,$1.43,14.34
2010-12-31,19.54,$1.43,13.68
2010-09-30,19.58,$1.54,12.69
2010-06-30,14.87,$1.26,11.83
2010-03-31,19.34,$1.02,18.96
2009-12-31,17.82,$0.97,18.38
