Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,197.26,,25.15
2024-07-31,211.78,$7.84,27.0
2024-04-30,197.89,$8.11,24.41
2024-01-31,163.4,$9.16,17.85
2023-10-31,131.34,$8.99,14.61
2023-07-31,150.11,$8.21,18.28
2023-04-30,111.63,$6.93,16.12
2023-01-31,109.85,$4.79,22.93
2022-10-31,86.78,$5.26,16.5
2022-07-31,103.91,$5.60,18.56
2022-04-30,107.93,$5.81,18.57
2022-01-31,134.9,$6.59,20.46
2021-10-31,133.2,$5.19,25.64
2021-07-31,136.15,$5.42,25.12
2021-04-30,128.9,$4.56,28.29
2021-01-31,93.73,$4.11,22.78
2020-10-31,57.26,$3.66,15.63
2020-07-31,61.98,$3.17,19.55
2020-04-30,47.68,$3.08,15.48
2020-01-31,55.48,$3.20,17.35
2019-10-31,51.73,$2.97,17.42
2019-07-31,46.86,$3.06,15.31
2019-04-30,41.61,$2.86,14.56
2019-01-31,36.71,$2.63,13.95
2018-10-31,30.71,$3.08,9.96
2018-07-31,45.21,$2.78,16.27
2018-04-30,46.0,$3.43,13.43
2018-01-31,49.58,$3.69,13.44
2017-10-31,52.08,$3.18,16.39
2017-07-31,40.8,$3.34,12.23
2017-04-30,37.31,$3.00,12.45
2017-01-31,31.38,$2.62,11.97
2016-10-31,26.56,$2.07,12.81
2016-07-31,23.93,$1.72,13.92
2016-04-30,18.55,$1.09,17.05
2016-01-31,15.91,$0.88,17.98
2015-10-31,15.03,$0.77,19.44
2015-07-31,15.47,$0.71,21.74
2015-04-30,17.55,$0.90,19.55
2015-01-31,20.17,$1.01,19.95
2014-10-31,19.42,$1.27,15.33
2014-07-31,18.34,$0.96,19.2
2014-04-30,16.6,$0.80,20.74
2014-01-31,14.57,$0.64,22.72
2013-10-31,15.37,$0.35,43.99
2013-07-31,13.96,$0.66,21.09
2013-04-30,12.33,$0.89,13.79
2013-01-31,10.9,$1.19,9.19
2012-10-31,8.87,$1.32,6.71
2012-07-31,9.05,$1.51,5.98
2012-04-30,9.87,$1.43,6.92
2012-01-31,10.05,$1.48,6.79
2011-10-31,10.01,$1.67,6.0
2011-07-31,9.94,$1.56,6.37
2011-04-30,12.58,$1.35,9.35
2011-01-31,12.53,$1.22,10.3
2010-10-31,9.81,$1.15,8.51
2010-07-31,9.31,$0.92,10.09
2010-04-30,10.81,$0.83,13.07
2010-01-31,9.51,$0.49,19.26
2009-10-31,9.48,$0.06,150.54
