MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,580.59,,37.38
2024-06-30,480.38,$15.53,30.93
2024-03-31,557.07,$14.80,37.64
2023-12-31,560.68,$14.34,39.09
2023-09-30,507.18,$13.38,37.9
2023-06-30,462.73,$13.75,33.65
2023-03-31,550.25,$12.82,42.91
2022-12-31,456.19,$12.59,36.23
2022-09-30,412.54,$12.08,34.16
2022-06-30,402.1,$10.67,37.69
2022-03-31,489.31,$10.83,45.19
2021-12-31,594.99,$10.50,56.65
2021-09-30,589.81,$10.01,58.91
2021-06-30,515.99,$9.84,52.44
2021-03-31,405.15,$10.26,39.49
2020-12-31,430.71,$8.99,47.89
2020-09-30,343.46,$9.04,38.0
2020-06-30,320.66,$8.84,36.26
2020-03-31,277.02,$7.93,34.94
2019-12-31,246.99,$7.67,32.22
2019-09-30,207.74,$6.79,30.58
2019-06-30,227.12,$6.21,36.6
2019-03-31,188.64,$6.32,29.83
2018-12-31,139.4,$6.29,22.18
2018-09-30,167.11,$5.86,28.53
2018-06-30,155.31,$5.40,28.77
2018-03-31,139.99,$4.46,31.38
2017-12-31,118.21,$3.87,30.58
2017-09-30,108.87,$3.82,28.47
2017-06-30,95.59,$4.29,22.31
2017-03-31,89.95,$4.13,21.81
2016-12-31,72.7,$4.14,17.56
2016-09-30,77.19,$3.55,21.74
2016-06-30,70.69,$3.24,21.79
2016-03-31,67.71,$2.26,29.98
2015-12-31,65.72,$2.48,26.55
2015-09-30,54.0,$2.60,20.79
2015-06-30,55.71,$2.21,25.18
2015-03-31,55.33,$2.59,21.39
2014-12-31,42.68,$2.18,19.55
2014-09-30,42.13,$1.97,21.41
2014-06-30,41.08,$1.69,24.27
2014-03-31,38.54,$1.88,20.53
2013-12-31,39.17,$2.29,17.08
2013-09-30,36.07,$2.12,17.01
2013-06-30,29.81,$2.29,13.02
2013-03-31,30.4,$2.47,12.31
2012-12-31,27.76,$2.46,11.31
2012-09-30,32.06,$2.63,12.21
2012-06-30,30.48,$2.67,11.39
2012-03-31,32.98,$2.67,12.35
2011-12-31,29.5,$1.90,15.56
2011-09-30,27.17,$1.63,16.64
2011-06-30,33.76,$-0.01,0.0
2011-03-31,32.99,$-0.38,0.0
2010-12-31,34.9,$0.51,68.37
2010-11-30,30.51,$0.00,0.0
2010-08-31,26.79,$-0.14,0.0
2010-05-31,26.56,$-0.12,0.0
2010-02-28,26.86,$-0.33,0.0
2009-11-30,27.3,$0.00,0.0
