IDEXX Laboratories Price to Free Cash Flow Ratio Historical Data,IDEXX Laboratories Price to Free Cash Flow Ratio Historical Data,IDEXX Laboratories Price to Free Cash Flow Ratio Historical Data,IDEXX Laboratories Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,481.33,,48.03
2024-06-30,487.2,$10.02,48.61
2024-03-31,539.93,$9.49,56.91
2023-12-31,555.05,$9.20,60.31
2023-09-30,437.27,$8.06,54.22
2023-06-30,502.23,$7.04,71.36
2023-03-31,500.08,$5.41,92.43
2022-12-31,407.96,$4.66,87.57
2022-09-30,325.8,$5.26,61.9
2022-06-30,350.73,$5.10,68.74
2022-03-31,547.06,$2.08,263.58
2021-12-31,658.46,$3.47,189.95
2021-09-30,621.9,$3.41,182.27
2021-06-30,631.55,$3.89,162.51
2020-12-31,499.87,$6.24,80.11
2020-09-30,393.11,$6.16,63.87
2020-06-30,330.16,$5.36,61.65
2020-03-31,242.24,$4.32,56.12
2019-12-31,261.13,$5.74,45.5
2021-03-31,489.31,$3.42,143.06
2019-09-30,271.93,$3.38,80.47
2019-06-30,275.33,$1.01,271.96
2019-03-31,223.6,$0.95,234.31
2018-12-31,186.02,$2.07,89.91
2018-09-30,249.66,$1.97,126.7
2017-12-31,156.38,$3.34,46.86
2017-09-30,155.49,$4.08,38.14
2017-06-30,161.42,$2.10,77.01
2017-03-31,154.61,$2.00,77.3
2016-12-31,117.27,$2.96,39.61
2018-06-30,217.94,$1.16,188.64
2016-09-30,112.73,$2.74,41.12
2016-06-30,92.86,$2.46,37.77
2016-03-31,78.32,$1.54,50.89
2015-12-31,72.92,$2.08,35.14
2015-09-30,74.29,$1.00,73.96
2018-03-31,191.39,$0.46,419.16
2015-06-30,64.14,$1.11,57.75
2015-03-31,77.24,$1.17,65.8
2014-12-31,74.14,$1.78,41.64
2014-09-30,58.92,$2.09,28.22
2014-06-30,66.79,$1.91,34.98
2014-03-31,60.7,$1.76,34.42
2013-12-31,53.19,$1.56,34.1
2013-09-30,49.83,$1.60,31.08
2013-06-30,44.85,$1.50,29.89
2013-03-31,46.2,$1.43,32.42
2012-12-31,46.4,$1.47,31.61
2012-09-30,49.68,$1.36,36.45
2012-06-30,48.07,$1.40,34.3
2012-03-31,43.73,$1.36,32.04
2011-12-31,38.48,$1.45,26.59
2011-09-30,34.49,$1.39,24.86
2011-06-30,38.78,$1.22,31.72
2011-03-31,38.61,$1.22,31.67
2010-12-31,34.61,$1.18,29.44
2010-09-30,30.86,$1.23,25.14
2010-06-30,30.45,$1.11,27.48
2010-03-31,28.78,$1.09,26.32
2009-12-31,26.73,$1.04,25.67
