Integral Ad Science Holding Price to Free Cash Flow Ratio Historical Data,Integral Ad Science Holding Price to Free Cash Flow Ratio Historical Data,Integral Ad Science Holding Price to Free Cash Flow Ratio Historical Data,Integral Ad Science Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.73,,25.77
2024-06-30,9.72,$0.42,23.34
2024-03-31,9.97,$0.44,22.61
2023-12-31,14.39,$0.61,23.78
2023-09-30,11.89,$0.43,27.64
2023-06-30,17.98,$0.47,38.58
2023-03-31,14.27,$0.40,36.11
2022-12-31,8.79,$0.35,24.78
2022-09-30,7.24,$0.40,17.9
2022-06-30,9.93,$0.27,37.12
2022-03-31,13.8,$0.40,34.5
