Sitio Royalties Price to Free Cash Flow Ratio Historical Data,Sitio Royalties Price to Free Cash Flow Ratio Historical Data,Sitio Royalties Price to Free Cash Flow Ratio Historical Data,Sitio Royalties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,22.66,,7.36
2024-06-30,23.61,$3.08,7.67
2024-03-31,24.72,$5.16,4.79
2023-12-31,23.51,$5.29,4.44
2023-09-30,24.21,$3.02,8.03
2023-06-30,26.27,$-22.42,0.0
2023-03-31,22.6,$-26.99,0.0
2022-12-31,28.76,$-28.61,0.0
2022-09-30,21.6,$-30.46,0.0
2022-06-30,22.07,$-3.47,0.0
2022-03-31,25.03,$-0.52,0.0
2021-12-31,17.64,0,0.0
2021-09-30,16.52,$-0.93,0.0
2021-06-30,17.29,$-1.31,0.0
2021-03-31,14.97,$0.12,120.89
2020-12-31,10.32,0,0.0
2020-09-30,7.77,$0.25,31.19
2020-06-30,10.09,$1.64,6.15
2020-03-31,6.72,$1.36,4.95
2019-12-31,21.39,$1.48,14.41
2019-09-30,17.05,$-4.12,0.0
2019-06-30,24.29,$10.35,2.35
2019-03-31,25.02,$9.72,2.58
2018-12-31,23.46,$9.19,2.55
2018-09-30,30.06,$15.48,1.94
2018-03-31,26.29,0,0.0
