W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,984.92,,91.57
2024-06-30,900.32,$10.76,83.7
2023-12-31,823.56,$32.08,25.68
2023-09-30,685.95,$32.99,20.79
2023-06-30,779.84,$35.80,21.78
2023-03-31,679.3,$35.40,19.19
2022-12-31,547.13,$31.17,17.55
2024-03-31,1012.96,$26.10,38.81
2022-09-30,479.82,$18.29,26.24
2022-06-30,444.35,$13.79,32.21
2022-03-31,502.54,$14.70,34.19
2021-12-31,503.18,$13.62,36.94
2021-09-30,380.34,$15.87,23.97
2021-06-30,422.26,$18.49,22.84
2021-03-31,385.18,$18.50,20.82
2020-12-31,390.68,$17.62,22.18
2020-09-30,340.01,$16.00,21.25
2020-06-30,298.09,$16.19,18.41
2020-03-31,234.61,$17.56,13.36
2019-12-31,318.07,$15.26,20.84
2019-09-30,277.95,$14.49,19.19
2019-06-30,249.56,$15.00,16.64
2019-03-31,278.48,$13.59,20.5
2018-12-31,260.12,$14.48,17.97
2018-09-30,327.74,$16.52,19.84
2018-06-30,281.71,$16.80,16.77
2018-03-31,256.66,$15.86,16.18
2017-12-31,213.79,$16.21,13.19
2017-09-30,161.65,$15.54,10.4
2017-06-30,161.09,$13.83,11.65
2017-03-31,206.28,$13.64,15.12
2016-12-31,204.84,$13.08,15.67
2016-09-30,197.22,$11.38,17.34
2016-06-30,198.22,$11.77,16.84
2016-03-31,202.55,$11.33,17.88
2015-12-31,174.81,$10.30,16.98
2015-09-30,184.5,$9.99,18.46
2015-06-30,202.02,$9.20,21.97
2015-03-31,200.35,$8.13,24.64
2014-12-31,215.59,$8.66,24.9
2014-09-30,211.95,$8.30,25.53
2014-06-30,213.17,$8.74,24.4
2014-03-31,210.92,$10.06,20.96
2013-12-31,212.38,$10.50,20.23
2013-09-30,216.86,$10.52,20.62
2013-06-30,208.23,$10.36,20.11
2013-03-31,185.08,$9.06,20.43
2012-12-31,165.87,$8.08,20.54
2012-09-30,170.1,$7.70,22.08
2012-06-30,155.51,$6.63,23.44
2012-03-31,173.99,$7.47,23.28
2011-12-31,151.12,$7.82,19.33
2011-09-30,120.27,$6.71,17.91
2011-06-30,122.98,$6.27,19.62
2011-03-31,109.7,$6.52,16.83
2010-12-31,109.61,$6.60,16.62
2010-09-30,94.13,$8.30,11.35
2010-06-30,78.22,$9.03,8.66
2010-03-31,84.61,$9.06,9.34
2009-12-31,75.43,$7.90,9.55
