DiamondRock Hospitality Price to Free Cash Flow Ratio Historical Data,DiamondRock Hospitality Price to Free Cash Flow Ratio Historical Data,DiamondRock Hospitality Price to Free Cash Flow Ratio Historical Data,DiamondRock Hospitality Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.1,,14.21
2024-06-30,8.42,$0.64,13.15
2024-03-31,9.54,$0.12,79.13
2023-12-31,9.3,$0.18,51.22
2023-09-30,7.92,$0.33,23.99
2023-06-30,7.88,$0.31,25.72
2022-12-31,7.99,$0.65,12.29
2022-09-30,7.27,$1.13,6.41
2022-06-30,7.92,$1.00,7.94
2022-03-31,9.74,$0.79,12.4
2021-12-31,9.27,$1.74,5.31
2023-03-31,7.96,$0.92,8.66
2021-09-30,9.12,$0.56,16.35
2021-06-30,9.36,$0.34,27.58
2021-03-31,9.94,$-0.88,0.0
2020-12-31,7.96,$-0.85,0.0
2020-09-30,4.89,$-0.67,0.0
2020-06-30,5.34,$-0.43,0.0
2020-03-31,4.9,$-0.18,0.0
2019-12-31,10.69,$-0.03,0.0
2019-09-30,9.78,$0.12,79.89
2019-06-30,9.75,$0.43,22.81
2019-03-31,10.09,$0.42,24.2
2018-12-31,8.24,$0.50,16.59
2018-09-30,10.6,$0.51,20.62
2018-06-30,11.03,$0.42,26.14
2018-03-31,9.28,$0.58,15.98
2017-12-31,9.92,$0.52,19.26
2017-09-30,9.52,$0.50,18.94
2017-06-30,9.41,$0.76,12.35
2017-03-31,9.48,$1.39,6.82
2016-12-31,9.69,$1.43,6.79
2016-09-30,7.57,$1.54,4.92
2016-06-30,7.4,$1.27,5.84
2016-03-31,8.18,$0.76,10.79
2015-12-31,7.7,$0.82,9.43
2015-09-30,8.71,$1.65,5.27
2015-06-30,9.98,$1.94,5.16
2015-03-31,10.91,$1.59,6.85
2014-12-31,11.38,$1.97,5.77
2014-09-30,9.64,$0.95,10.19
2014-03-31,8.79,$0.48,18.42
2013-12-31,8.57,$0.58,14.87
2013-09-30,7.86,$0.85,9.3
2013-06-30,6.81,$0.43,15.82
2013-03-31,6.74,$0.42,16.14
2012-12-31,6.45,$0.45,14.44
2014-06-30,9.67,$0.25,38.72
2012-09-30,6.84,$0.84,8.14
2012-06-30,7.19,$0.89,8.1
2012-03-31,7.2,$0.82,8.79
2011-12-31,6.69,$0.30,22.53
2011-09-30,4.81,$0.25,19.46
2011-06-30,7.31,$0.33,22.25
2011-03-31,7.54,$0.40,18.83
2010-12-31,8.05,$0.37,21.71
2010-09-30,6.36,$0.40,15.84
2010-06-30,5.51,$0.38,14.42
2010-03-31,6.78,$0.42,16.29
2009-12-31,5.68,$0.52,10.92
