Iris Energy Price to Free Cash Flow Ratio Historical Data,Iris Energy Price to Free Cash Flow Ratio Historical Data,Iris Energy Price to Free Cash Flow Ratio Historical Data,Iris Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,8.95,,15.48
2022-03-31,15.67,$0.58,27.1
2021-12-31,16.17,$0.65,24.82
2024-03-31,5.4,$0.94,5.75
2023-12-31,7.15,$-0.14,0.0
