Cadre Holdings Price to Free Cash Flow Ratio Historical Data,Cadre Holdings Price to Free Cash Flow Ratio Historical Data,Cadre Holdings Price to Free Cash Flow Ratio Historical Data,Cadre Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.69,,26.56
2024-03-31,36.2,$1.46,24.85
2023-12-31,32.89,$1.76,18.7
2023-09-30,26.65,$2.04,13.06
2023-06-30,21.8,$1.16,18.84
2023-03-31,21.54,$0.86,24.97
2022-12-31,20.14,$0.94,21.41
2024-06-30,33.56,$0.24,137.6
2022-09-30,24.06,$2.01,11.99
