Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data,Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data,Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data,Navios Maritime Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,57.59,,4.71
2024-06-30,50.97,$12.23,4.17
2024-03-31,42.53,$16.25,2.62
2023-12-31,27.85,$21.08,1.32
2023-09-30,22.99,$22.31,1.03
2023-06-30,21.67,$19.55,1.11
2023-03-31,23.87,$18.41,1.3
2022-12-31,25.64,$11.84,2.17
2022-09-30,24.18,$4.59,5.27
2022-06-30,22.64,$15.76,1.44
2022-03-31,34.59,$7.04,4.91
2021-12-31,24.62,$8.00,3.08
2021-09-30,31.69,$6.03,5.25
2021-06-30,28.89,$-1.31,0.0
2021-03-31,22.99,$1.83,12.59
2020-12-31,10.9,$2.72,4.0
2020-09-30,5.81,$7.48,0.78
2020-06-30,9.3,$4.68,1.99
2020-03-31,4.9,$6.30,0.78
2019-12-31,16.68,$5.10,3.27
2019-09-30,15.65,$6.34,2.47
2019-06-30,11.68,$4.46,2.62
2019-03-31,11.56,$2.78,4.15
2018-12-31,10.57,$2.65,3.99
2018-09-30,21.49,$2.35,9.14
2018-06-30,22.99,$-1.37,0.0
2018-03-31,21.67,$-15.44,0.0
2017-12-31,28.41,$1.03,27.68
2017-09-30,24.68,$0.05,450.28
2017-06-30,19.14,$2.38,8.06
2017-03-31,24.92,$20.24,1.23
2016-12-31,16.97,$7.43,2.28
2016-09-30,16.73,$-15.78,0.0
2016-06-30,15.53,$-9.92,0.0
2016-03-31,14.93,$-5.31,0.0
2015-12-31,36.35,$-4.47,0.0
2015-09-30,84.25,$10.48,8.04
2015-06-30,118.34,$0.05,2254.1
2015-03-31,118.55,$8.23,14.4
2014-12-31,104.4,$3.02,34.54
2014-09-30,177.46,$-53.48,0.0
2014-06-30,189.04,$-49.76,0.0
2014-03-31,185.04,$-60.52,0.0
2013-12-31,177.18,$-53.43,0.0
2013-09-30,132.16,$26.84,4.92
2013-06-30,126.64,$26.86,4.71
2013-03-31,123.18,$19.99,6.16
2012-12-31,101.19,$23.41,4.32
2012-09-30,118.67,$17.27,6.87
2012-06-30,105.57,$29.89,3.53
2012-03-31,125.73,$16.09,7.81
2011-12-31,108.21,$16.92,6.4
2011-09-30,94.97,$-33.34,0.0
2011-06-30,127.44,$-34.77,0.0
2011-03-31,138.06,$-31.67,0.0
2010-12-31,129.19,$-86.97,0.0
2010-09-30,120.76,$-57.66,0.0
2010-06-30,100.08,$-61.58,0.0
2010-03-31,108.67,$-41.77,0.0
2009-12-31,89.06,$49.66,1.79
