Relay Therapeutics Price to Free Cash Flow Ratio Historical Data,Relay Therapeutics Price to Free Cash Flow Ratio Historical Data,Relay Therapeutics Price to Free Cash Flow Ratio Historical Data,Relay Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.64,,0.0
2024-06-30,6.52,$-2.23,0.0
2024-03-31,8.3,$-2.31,0.0
2023-12-31,11.01,$-2.48,0.0
2023-09-30,8.41,$-2.27,0.0
2023-06-30,12.56,$-2.25,0.0
2023-03-31,16.47,$-2.21,0.0
2022-12-31,14.94,$-2.13,0.0
2022-09-30,22.37,$-2.03,0.0
2022-06-30,16.75,$-2.03,0.0
2022-03-31,29.93,$-1.81,0.0
2021-12-31,30.71,$-0.82,0.0
2021-09-30,31.53,$-1.88,0.0
2021-06-30,36.59,$-2.26,0.0
