Stevanato Group S.p.A Price to Free Cash Flow Ratio Historical Data,Stevanato Group S.p.A Price to Free Cash Flow Ratio Historical Data,Stevanato Group S.p.A Price to Free Cash Flow Ratio Historical Data,Stevanato Group S.p.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.21,,0.0
2024-06-30,18.34,$-0.97,0.0
2024-03-31,32.1,$-1.09,0.0
2023-12-31,27.29,$-1.34,0.0
2023-09-30,29.72,$-1.11,0.0
2023-06-30,32.38,$-0.86,0.0
2023-03-31,25.9,$-1.02,0.0
2022-12-31,17.97,$-0.55,0.0
2022-09-30,16.94,$-0.28,0.0
2022-06-30,15.81,$-0.32,0.0
