Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data,Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data,Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data,Bread Financial Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,52.81,,1.25
2024-06-30,44.38,$42.27,1.05
2024-03-31,36.9,$39.71,0.93
2023-12-31,32.44,$38.78,0.84
2023-09-30,33.68,$36.41,0.92
2023-06-30,30.76,$35.97,0.86
2023-03-31,29.47,$33.76,0.87
2022-12-31,36.42,$35.52,1.03
2022-09-30,30.26,$32.19,0.94
2022-06-30,35.49,$29.25,1.21
2022-03-31,53.53,$28.60,1.87
2021-12-31,63.28,$29.26,2.16
2021-09-30,95.65,$30.81,3.1
2021-06-30,98.56,$30.31,3.25
2021-03-31,105.84,$36.65,2.89
2020-12-31,69.79,$38.18,1.83
2020-09-30,39.41,$23.49,1.68
2020-06-30,42.17,$24.01,1.76
2020-03-31,31.27,$22.06,1.42
2019-12-31,103.63,$21.14,4.9
2019-09-30,117.66,$40.26,2.92
2019-06-30,128.01,$43.25,2.96
2019-03-31,159.15,$46.26,3.44
2018-12-31,136.01,$46.37,2.93
2018-09-30,213.42,$48.12,4.44
2018-06-30,210.22,$48.31,4.35
2018-03-31,191.36,$45.82,4.18
2017-12-31,227.35,$42.46,5.35
2017-09-30,198.25,$40.57,4.89
2017-06-30,229.16,$37.86,6.05
2017-03-31,221.84,$36.36,6.1
2016-12-31,203.11,$32.60,6.23
2016-09-30,190.2,$31.24,6.09
2016-06-30,173.7,$28.51,6.09
2016-03-31,195.05,$26.83,7.27
2015-12-31,245.21,$25.17,9.74
2015-09-30,229.61,$19.17,11.98
2015-06-30,258.83,$18.48,14.0
2015-03-31,262.65,$16.69,15.73
2014-12-31,253.61,$19.00,13.35
2014-09-30,220.11,$16.52,13.33
2014-06-30,249.35,$14.22,17.54
2014-03-31,241.55,$13.64,17.71
2013-12-31,233.11,$12.98,17.96
2013-09-30,187.49,$14.51,12.92
2013-06-30,160.5,$17.10,9.38
2013-03-31,143.53,$16.22,8.85
2012-12-31,128.34,$15.87,8.09
2012-09-30,125.85,$16.10,7.82
2012-06-30,119.69,$15.47,7.74
2012-03-31,111.68,$16.13,6.92
2011-12-31,92.06,$16.22,5.67
2011-09-30,82.19,$15.47,5.31
2011-06-30,83.4,$14.10,5.92
2011-03-31,76.15,$13.14,5.8
2010-12-31,62.97,$10.14,6.21
2010-09-30,57.86,$8.42,6.87
2010-06-30,52.77,$6.33,8.34
2009-12-31,57.27,$5.29,10.82
2009-09-30,54.15,$8.28,6.54
