Rezolve AI Price to Free Cash Flow Ratio Historical Data,Rezolve AI Price to Free Cash Flow Ratio Historical Data,Rezolve AI Price to Free Cash Flow Ratio Historical Data,Rezolve AI Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.74,,0.0
2024-06-30,11.44,$-0.19,0.0
2024-03-31,11.08,$-0.18,0.0
2023-12-31,10.77,$-0.30,0.0
2023-09-30,10.7,$-0.33,0.0
2023-06-30,10.45,$-0.35,0.0
2023-03-31,10.08,$-0.33,0.0
2022-12-31,10.12,$-0.21,0.0
2022-09-30,9.92,$-0.20,0.0
