Hawaiian Electric Industries Price to Free Cash Flow Ratio Historical Data,Hawaiian Electric Industries Price to Free Cash Flow Ratio Historical Data,Hawaiian Electric Industries Price to Free Cash Flow Ratio Historical Data,Hawaiian Electric Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.23,,0.0
2024-06-30,9.02,$-0.17,0.0
2024-03-31,11.27,$0.65,17.23
2023-12-31,14.19,$0.94,15.05
2023-09-30,12.31,$2.46,5.0
2023-06-30,35.15,$2.15,16.31
2023-03-31,36.92,$1.56,23.72
2022-12-31,39.88,$1.16,34.35
2022-09-30,32.74,$0.63,52.2
2022-03-31,39.32,$0.98,40.3
2021-12-31,38.23,$0.56,68.52
2021-09-30,37.3,$0.71,52.79
2021-06-30,38.33,$0.14,276.38
2021-03-31,39.97,$0.71,56.43
2020-12-31,31.53,$0.42,75.75
2020-09-30,29.35,$1.51,19.46
2020-06-30,31.54,$0.61,51.96
2020-03-31,37.32,$0.98,37.91
2019-12-31,40.35,$1.09,37.0
2022-06-30,38.33,$-0.67,0.0
2019-09-30,38.99,$1.14,34.12
2019-06-30,36.96,$0.32,115.08
2019-03-31,34.34,$0.40,86.76
2018-12-31,30.59,$-0.07,0.0
2018-09-30,29.49,$-1.38,0.0
2018-06-30,28.17,$-1.19,0.0
2018-03-31,27.98,$-0.64,0.0
2017-12-31,29.15,$-0.09,0.0
2017-09-30,26.68,$0.37,72.28
2017-06-30,25.65,$1.30,19.8
2017-03-31,26.13,$0.99,26.3
2016-12-31,25.7,$1.83,14.04
2016-09-30,22.96,$2.13,10.79
2016-06-30,24.96,$0.93,26.94
2016-03-31,24.43,$0.68,35.77
2015-12-31,21.6,$0.39,55.02
2015-09-30,21.18,$0.32,66.12
2015-06-30,21.72,$0.75,28.86
2015-03-31,23.23,$0.67,34.69
2014-12-31,24.0,$0.05,440.28
2014-09-30,18.81,$-0.56,0.0
2014-06-30,17.72,$-0.68,0.0
2014-03-31,17.56,$-0.16,0.0
2013-12-31,17.78,$0.14,131.23
2013-09-30,16.93,$0.60,28.42
2013-06-30,16.86,$0.79,21.39
2013-03-31,18.26,$0.13,137.79
2012-12-31,16.38,$-0.35,0.0
2012-09-30,16.92,$0.13,126.47
2012-06-30,18.14,$-0.48,0.0
2012-03-31,15.93,$0.39,40.75
2011-12-31,16.44,$0.49,33.66
2011-09-30,14.9,$0.95,15.65
2011-06-30,14.56,$1.63,8.94
2011-03-31,14.83,$1.74,8.51
2010-12-31,13.46,$2.00,6.74
2010-09-30,13.13,$0.77,16.99
2010-06-30,13.1,$-0.02,0.0
2010-03-31,12.73,$-0.68,0.0
2009-12-31,11.67,$-0.05,0.0
