Wolfspeed Price to Free Cash Flow Ratio Historical Data,Wolfspeed Price to Free Cash Flow Ratio Historical Data,Wolfspeed Price to Free Cash Flow Ratio Historical Data,Wolfspeed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.21,,0.0
2024-06-30,22.76,$-23.86,0.0
2024-03-31,29.5,$-20.65,0.0
2023-12-31,43.51,$-17.42,0.0
2023-09-30,38.1,$-12.52,0.0
2023-06-30,55.59,$-8.77,0.0
2023-03-31,64.95,$-6.18,0.0
2022-12-31,69.04,$-4.86,0.0
2022-09-30,103.36,$-4.75,0.0
2022-06-30,63.45,$-6.56,0.0
2022-03-31,113.86,$-7.33,0.0
2021-12-31,111.77,$-7.83,0.0
2021-09-30,80.73,$-7.92,0.0
2021-06-30,97.93,$-6.17,0.0
2021-03-31,108.13,$-4.64,0.0
2020-12-31,105.9,$-3.91,0.0
2020-09-30,63.74,$-4.14,0.0
2020-06-30,59.19,$-3.30,0.0
2020-03-31,35.46,$-2.52,0.0
2019-12-31,46.15,$-1.16,0.0
2019-06-30,56.18,$0.74,76.39
2019-03-31,57.22,$1.52,37.58
2018-12-31,42.78,$0.65,66.14
2018-09-30,37.87,$-0.08,0.0
2018-06-30,41.57,$-0.19,0.0
2019-09-30,49.0,$-0.60,0.0
2018-03-31,40.31,$0.26,157.34
2017-12-31,37.14,$0.73,50.62
2017-09-30,28.19,$1.58,17.86
2017-06-30,24.65,$1.38,17.81
2017-03-31,26.73,$1.54,17.4
2016-12-31,26.39,$1.30,20.36
2016-09-30,25.72,$0.89,28.93
2016-06-30,24.44,$0.87,28.08
2016-03-31,29.1,$0.80,36.5
2015-12-31,26.67,$0.95,28.04
2015-09-30,24.23,$0.17,145.53
2015-06-30,26.03,$-0.22,0.0
2015-03-31,35.49,$-0.31,0.0
2014-12-31,32.22,$-0.28,0.0
2014-09-30,40.95,$0.44,92.69
2014-06-30,49.95,$1.15,43.58
2014-03-31,56.56,$1.22,46.45
2013-12-31,62.52,$1.18,53.09
2013-09-30,60.19,$1.42,42.28
2013-06-30,63.83,$1.76,36.19
2013-03-31,54.71,$1.88,29.05
2012-12-31,33.98,$1.96,17.37
2012-09-30,25.51,$1.84,13.84
2012-06-30,25.67,$1.28,20.05
2012-03-31,31.63,$0.97,32.46
2011-12-31,22.04,$0.48,45.55
2011-09-30,25.98,$0.20,129.84
2011-06-30,33.59,$0.66,50.99
2011-03-31,46.16,$0.57,81.64
2010-09-30,54.29,$0.59,92.33
2010-06-30,60.03,$0.78,76.48
2010-03-31,70.22,$1.46,48.08
2009-12-31,56.37,$0.52,108.72
2009-09-30,36.75,$1.82,20.19
