Array Technologies Price to Free Cash Flow Ratio Historical Data,Array Technologies Price to Free Cash Flow Ratio Historical Data,Array Technologies Price to Free Cash Flow Ratio Historical Data,Array Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.68,,4.95
2024-06-30,10.26,$1.35,7.61
2024-03-31,14.91,$1.44,10.38
2023-12-31,16.8,$1.41,11.88
2023-09-30,22.19,$1.46,15.24
2023-06-30,22.6,$1.68,13.47
2023-03-31,21.88,$1.50,14.55
2022-12-31,19.33,$0.87,22.13
2022-09-30,16.58,$-0.52,0.0
2022-06-30,11.01,$-1.42,0.0
2022-03-31,11.27,$-2.07,0.0
2021-12-31,15.69,$-2.05,0.0
2021-09-30,18.52,$-2.30,0.0
