Samsara Price to Free Cash Flow Ratio Historical Data,Samsara Price to Free Cash Flow Ratio Historical Data,Samsara Price to Free Cash Flow Ratio Historical Data,Samsara Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.17,,0.0
2024-07-31,38.28,$-0.01,0.0
2024-04-30,34.93,$-0.02,0.0
2024-01-31,31.4,$-0.04,0.0
2023-10-31,23.07,$0.02,1267.58
2023-07-31,27.94,$-0.04,0.0
2023-04-30,18.05,$-0.13,0.0
2023-01-31,13.64,$-0.27,0.0
2022-10-31,12.31,$-0.76,0.0
