Alexander's Price to Free Cash Flow Ratio Historical Data,Alexander's Price to Free Cash Flow Ratio Historical Data,Alexander's Price to Free Cash Flow Ratio Historical Data,Alexander's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,229.77,,18.55
2024-06-30,220.19,$12.39,17.78
2024-03-31,208.43,$32.74,6.37
2023-12-31,200.97,$33.58,5.98
2023-09-30,167.6,$29.06,5.77
2023-06-30,165.19,$25.24,6.54
2023-03-31,169.67,$14.79,11.47
2022-12-31,189.11,$17.20,11.0
2022-09-30,176.2,$31.77,5.55
2022-06-30,184.0,$40.71,4.52
2022-03-31,208.33,$31.56,6.6
2021-12-31,208.13,$35.29,5.9
2021-09-30,205.08,$19.36,10.59
2021-06-30,207.43,$13.19,15.72
2021-03-31,211.21,$15.16,13.93
2020-12-31,207.75,$8.91,23.33
2020-09-30,180.28,$10.77,16.74
2020-06-30,174.05,$21.58,8.07
2020-03-31,195.88,$17.28,11.34
2019-12-31,231.44,$22.79,10.16
2019-09-30,240.91,$19.31,12.48
2019-06-30,252.91,$16.37,15.45
2019-03-31,256.91,$15.57,16.5
2018-12-31,205.24,$13.60,15.1
2018-09-30,227.91,$22.49,10.13
2018-06-30,250.93,$23.08,10.87
2018-03-31,247.14,$22.71,10.88
2017-12-31,253.54,$23.45,10.81
2017-09-30,268.81,$22.66,11.86
2017-06-30,264.48,$22.72,11.64
2017-03-31,268.26,$23.22,11.55
2016-12-31,262.56,$22.55,11.64
2016-09-30,255.33,$18.42,13.86
2016-06-30,246.81,$12.48,19.78
2016-03-31,227.16,$12.21,18.61
2015-12-31,226.76,$10.97,20.67
2015-09-30,218.87,$-1.68,0.0
2015-06-30,237.78,$0.71,334.76
2015-03-31,262.65,$-4.14,0.0
2014-12-31,249.66,$-2.44,0.0
2014-09-30,211.93,$7.52,28.2
2014-06-30,207.6,$11.50,18.04
2014-03-31,200.97,$14.25,14.11
2013-12-31,181.98,$12.96,14.04
2013-09-30,156.38,$156.22,1.0
2013-06-30,159.05,$157.30,1.01
2013-03-31,176.91,$157.61,1.12
2012-12-31,176.02,$159.83,1.1
2012-09-30,165.2,$16.22,10.18
2012-06-30,165.22,$16.30,10.14
2012-03-31,149.53,$17.10,8.74
2011-12-31,139.12,$15.29,9.1
2011-09-30,134.78,$11.53,11.69
2011-06-30,147.03,$3.39,43.43
2011-03-31,149.7,$10.58,14.15
2010-12-31,150.57,$6.60,22.81
2010-09-30,114.62,$9.57,11.98
2010-06-30,109.12,$5.96,18.3
2010-03-31,106.84,$-1.02,0.0
2009-12-31,108.73,$-6.91,0.0
