Levi Strauss Price to Free Cash Flow Ratio Historical Data,Levi Strauss Price to Free Cash Flow Ratio Historical Data,Levi Strauss Price to Free Cash Flow Ratio Historical Data,Levi Strauss Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.51,,12.09
2024-08-31,19.27,$1.53,12.58
2024-02-29,17.94,$1.51,11.84
2023-11-30,15.18,$0.30,50.83
2023-08-31,13.38,$-0.32,0.0
2023-05-31,12.76,$-0.30,0.0
2023-02-28,17.15,$-0.81,0.0
2022-11-30,15.7,$-0.10,0.0
2022-08-31,15.91,$0.48,33.12
2022-05-31,17.0,$1.02,16.72
2022-02-28,21.09,$0.34,62.37
2021-11-30,23.71,$1.31,18.05
2021-08-31,24.23,$0.95,25.63
2021-05-31,24.66,$0.92,26.79
2024-05-31,23.83,$2.02,11.78
2021-02-28,21.39,$0.56,38.31
2020-11-30,16.88,$0.85,19.77
2020-08-31,11.31,$0.76,14.81
2020-05-31,12.38,$0.29,43.07
2020-02-29,15.5,$0.95,16.24
