Howmet Aerospace Price to Free Cash Flow Ratio Historical Data,Howmet Aerospace Price to Free Cash Flow Ratio Historical Data,Howmet Aerospace Price to Free Cash Flow Ratio Historical Data,Howmet Aerospace Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,96.66,,40.71
2024-06-30,77.63,$2.37,32.69
2024-03-31,68.43,$1.99,34.39
2023-12-31,54.12,$1.64,32.92
2023-09-30,46.25,$1.69,27.44
2023-06-30,49.56,$1.42,34.91
2023-03-31,42.37,$1.34,31.7
2022-12-31,39.41,$1.42,27.75
2022-09-30,30.93,$1.02,30.3
2022-06-30,31.43,$1.01,31.1
2022-03-31,35.9,$0.77,46.43
2021-12-31,31.78,$0.65,49.01
2021-09-30,31.13,$0.27,114.02
2021-06-30,34.37,$0.23,150.4
2021-03-31,32.03,$-0.47,0.0
