Intapp Price to Free Cash Flow Ratio Historical Data,Intapp Price to Free Cash Flow Ratio Historical Data,Intapp Price to Free Cash Flow Ratio Historical Data,Intapp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.78,,60.96
2024-06-30,36.67,$0.82,44.91
2024-03-31,34.3,$0.59,57.66
2023-12-31,38.02,$0.43,87.83
2023-09-30,33.52,$0.43,78.39
2023-06-30,41.91,$0.31,136.43
2023-03-31,44.84,$0.30,147.69
2022-12-31,24.94,$0.22,112.19
2022-09-30,18.67,$0.10,195.09
2022-06-30,14.64,$0.15,94.94
2022-03-31,24.01,$-0.40,0.0
