Lufax Holding Price to Free Cash Flow Ratio Historical Data,Lufax Holding Price to Free Cash Flow Ratio Historical Data,Lufax Holding Price to Free Cash Flow Ratio Historical Data,Lufax Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,3.01,,0.95
2024-06-30,2.37,$3.18,0.75
2024-03-31,4.22,$3.03,1.39
2023-12-31,3.07,$3.69,0.83
2023-09-30,1.06,$3.44,0.31
2023-06-30,1.43,$1.38,1.04
2023-03-31,2.04,$0.50,4.12
2022-12-31,1.94,$0.18,10.86
2022-09-30,2.37,$-0.54,0.0
2021-12-31,4.97,$1.10,4.51
2021-09-30,6.16,$3.81,1.62
2021-06-30,9.98,$3.11,3.21
2021-03-31,12.82,$2.15,5.96
