"Grupo Aeroportuario Del Sureste, S.A De C.V Price to Free Cash Flow Ratio Historical Data","Grupo Aeroportuario Del Sureste, S.A De C.V Price to Free Cash Flow Ratio Historical Data","Grupo Aeroportuario Del Sureste, S.A De C.V Price to Free Cash Flow Ratio Historical Data","Grupo Aeroportuario Del Sureste, S.A De C.V Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,279.13,,37.78
2024-06-30,299.52,$7.39,40.54
2023-12-31,283.55,$22.74,12.47
2023-09-30,231.03,$22.19,10.41
2023-06-30,261.1,$30.17,8.66
2023-03-31,282.54,$18.41,15.34
2022-12-31,214.8,$17.80,12.07
2022-09-30,180.85,$21.25,8.51
2022-06-30,181.05,$6.86,26.38
2022-03-31,197.32,$14.28,13.82
2021-12-31,183.57,$11.41,16.09
2021-09-30,166.51,$3.97,41.9
2021-06-30,161.12,$3.05,52.91
2021-03-31,154.92,$-1.94,0.0
2020-12-31,143.72,$-0.65,0.0
2020-09-30,101.11,$1.00,101.53
2020-06-30,97.85,$4.61,21.22
2020-03-31,82.03,$10.33,7.94
2019-12-31,163.29,$10.20,16.0
2019-09-30,132.89,$12.48,10.65
2019-06-30,141.26,$15.71,8.99
2019-03-31,136.4,$10.89,12.52
2018-12-31,126.99,$10.52,12.07
2018-09-30,172.97,$15.13,11.43
2018-06-30,134.21,$5.35,25.11
2018-03-31,140.82,$8.99,15.66
2017-12-31,150.67,$7.73,19.5
2017-09-30,157.53,$1.00,157.94
2017-06-30,173.7,$7.37,23.57
2017-03-31,138.35,$6.01,23.03
2016-12-31,114.91,$2.20,52.14
2016-06-30,127.42,$1.83,69.48
2016-03-31,117.67,$1.30,90.45
2015-12-31,110.22,$1.57,70.04
2015-09-30,119.31,$4.64,25.72
2015-06-30,111.16,$4.97,22.39
2015-03-31,103.02,$4.83,21.34
2014-12-31,101.04,$3.82,26.47
2014-09-30,98.47,$4.95,19.91
2014-06-30,97.35,$4.58,21.27
2014-03-31,93.99,$3.82,24.61
2013-12-31,95.51,$4.42,21.63
2013-09-30,81.23,$3.64,22.34
2013-06-30,83.01,$4.67,17.76
2013-03-31,99.19,$5.01,19.81
2012-12-31,82.73,$5.22,15.84
2012-09-30,64.3,$3.84,16.74
2012-06-30,56.66,$3.37,16.83
2012-03-31,47.97,$3.09,15.53
2011-12-31,39.16,$3.49,11.22
2011-09-30,34.81,$4.52,7.71
2011-06-30,41.27,$4.37,9.45
2011-03-31,39.46,$4.93,8.0
2010-12-31,37.9,$3.91,9.69
2010-09-30,31.88,$2.55,12.5
2010-06-30,30.58,$2.84,10.75
2010-03-31,33.5,$2.47,13.58
2009-12-31,33.47,$2.03,16.49
2009-09-30,27.56,$6.60,4.17
