LegalZoom Price to Free Cash Flow Ratio Historical Data,LegalZoom Price to Free Cash Flow Ratio Historical Data,LegalZoom Price to Free Cash Flow Ratio Historical Data,LegalZoom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.89,,17.27
2024-06-30,8.39,$0.40,21.03
2024-03-31,13.34,$0.49,27.18
2023-12-31,11.3,$0.48,23.69
2023-09-30,10.94,$0.48,22.81
2023-06-30,12.08,$0.50,24.4
2023-03-31,9.38,$0.33,28.12
2022-12-31,7.74,$0.26,29.3
2022-09-30,8.57,$0.18,47.06
2022-06-30,10.99,$0.06,186.9
2022-03-31,14.14,$0.31,46.03
