CompoSecure Price to Free Cash Flow Ratio Historical Data,CompoSecure Price to Free Cash Flow Ratio Historical Data,CompoSecure Price to Free Cash Flow Ratio Historical Data,CompoSecure Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.95,,7.63
2024-06-30,6.8,$1.96,3.47
2024-03-31,7.23,$2.75,2.63
2023-12-31,5.4,$2.64,2.04
2023-09-30,6.45,$0.76,8.47
2023-06-30,6.86,$2.42,2.83
2023-03-31,7.36,$2.09,3.52
2022-12-31,4.91,$2.57,1.91
2022-09-30,5.01,$3.80,1.32
2022-06-30,5.2,$1.48,3.51
2022-03-31,7.59,$0.70,10.8
2021-12-31,8.21,0,0.0
2021-09-30,10.11,0,0.0
