Pharvaris Price to Free Cash Flow Ratio Historical Data,Pharvaris Price to Free Cash Flow Ratio Historical Data,Pharvaris Price to Free Cash Flow Ratio Historical Data,Pharvaris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.25,,0.0
2024-06-30,18.8,$-2.22,0.0
2024-03-31,23.11,$-2.32,0.0
2023-12-31,28.05,$-2.63,0.0
2023-09-30,20.87,$-2.56,0.0
2023-06-30,15.14,$-2.55,0.0
2023-03-31,8.06,$-2.30,0.0
2022-12-31,11.25,$-2.11,0.0
2022-09-30,7.67,$-1.51,0.0
2022-06-30,22.1,$-1.09,0.0
2022-03-31,18.14,$-0.99,0.0
2021-12-31,14.39,$-1.74,0.0
