Algoma Steel Group Price to Free Cash Flow Ratio Historical Data,Algoma Steel Group Price to Free Cash Flow Ratio Historical Data,Algoma Steel Group Price to Free Cash Flow Ratio Historical Data,Algoma Steel Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.07,,0.0
2023-09-30,6.8,$-1.33,0.0
2023-06-30,7.1,$-1.35,0.0
2023-03-31,8.08,$-0.80,0.0
2022-12-31,6.34,$1.55,4.1
2022-09-30,6.44,$4.16,1.55
2022-06-30,8.93,$8.81,1.01
2022-03-31,11.13,$7.85,1.42
2021-12-31,10.64,$5.56,1.91
2021-09-30,10.35,$3.87,2.68
2021-06-30,9.86,$0.08,117.36
2021-03-31,9.52,$-1.15,0.0
