Quaker Houghton Price to Free Cash Flow Ratio Historical Data,Quaker Houghton Price to Free Cash Flow Ratio Historical Data,Quaker Houghton Price to Free Cash Flow Ratio Historical Data,Quaker Houghton Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,164.9,,14.32
2024-06-30,168.8,$11.52,14.65
2024-03-31,203.68,$12.91,15.78
2023-12-31,211.3,$13.41,15.76
2023-09-30,157.92,$13.04,12.11
2023-06-30,191.94,$7.58,25.31
2023-03-31,194.52,$3.36,57.94
2022-12-31,163.64,$0.74,220.45
2022-09-30,141.1,$-0.49,0.0
2022-06-30,145.67,$1.15,126.7
2022-03-31,167.93,$0.79,212.12
2021-12-31,223.84,$1.54,145.47
2021-09-30,230.17,$2.85,80.65
2021-06-30,229.27,$6.02,38.11
2021-03-31,235.24,$8.07,29.14
2020-12-31,244.18,$9.04,27.01
2020-09-30,172.82,$8.45,20.45
2020-06-30,178.2,$5.24,33.98
2020-03-31,120.86,$5.47,22.09
2019-12-31,157.1,$4.41,35.59
2019-09-30,150.65,$3.43,43.93
2019-06-30,192.87,$5.17,37.27
2019-03-31,190.11,$4.88,38.96
2018-12-31,168.31,$5.02,33.54
2018-09-30,191.16,$4.75,40.24
2018-06-30,146.06,$4.00,36.52
2018-03-31,139.38,$3.58,38.95
2017-12-31,141.56,$4.07,34.79
2017-09-30,138.56,$3.80,36.49
2017-06-30,135.69,$3.63,37.36
2017-03-31,122.71,$4.64,26.45
2016-12-31,118.92,$4.86,24.46
2016-09-30,98.14,$4.89,20.06
2016-06-30,82.34,$5.40,15.24
2016-03-31,78.05,$4.96,15.74
2015-12-31,70.73,$4.73,14.95
2015-09-30,70.29,$4.29,16.37
2015-06-30,80.71,$4.70,17.16
2015-03-31,77.54,$3.99,19.44
2014-12-31,83.03,$3.18,26.09
2014-09-30,64.4,$3.67,17.55
2014-06-30,68.7,$3.32,20.68
2014-03-31,70.3,$3.78,18.59
2013-12-31,68.5,$4.81,14.24
2013-09-30,64.71,$4.73,13.68
2013-06-30,54.73,$4.39,12.48
2013-03-31,51.87,$4.26,12.19
2012-12-31,47.14,$3.88,12.15
2012-09-30,40.63,$3.52,11.56
2012-06-30,40.02,$2.34,17.08
2012-03-31,33.96,$1.82,18.69
2011-12-31,33.29,$0.61,54.32
2011-09-30,22.01,$0.98,22.49
2011-06-30,36.33,$1.36,26.67
2011-03-31,33.73,$2.20,15.32
2010-12-31,34.8,$2.51,13.88
2010-09-30,27.02,$1.31,20.63
2010-06-30,22.3,$1.02,21.86
2010-03-31,22.15,$1.25,17.74
2009-12-31,16.69,$2.56,6.53
