Centerra Gold Price to Free Cash Flow Ratio Historical Data,Centerra Gold Price to Free Cash Flow Ratio Historical Data,Centerra Gold Price to Free Cash Flow Ratio Historical Data,Centerra Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.17,,5.04
2024-06-30,6.72,$1.42,4.72
2024-03-31,5.91,$1.59,3.72
2023-12-31,5.96,$0.74,8.05
2023-09-30,4.9,$0.15,32.13
2023-06-30,6.0,$-0.66,0.0
2023-03-31,6.41,$-0.82,0.0
2022-12-31,5.13,$-0.30,0.0
2022-09-30,4.37,$-0.06,0.0
2022-06-30,6.61,$0.24,28.1
2022-03-31,9.56,$0.70,13.57
2021-12-31,7.43,$1.12,6.63
2021-09-30,6.54,$1.45,4.51
2021-06-30,7.27,$2.43,3.0
2021-03-31,8.42,$2.97,2.83
2020-12-31,10.26,$2.78,3.69
