United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data,United Rentals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,741.26,,20.03
2024-06-30,645.23,$37.01,17.44
2024-03-31,717.71,$38.98,18.41
2023-12-31,569.26,$33.01,17.25
2023-09-30,439.86,$25.00,17.6
2023-06-30,439.3,$22.74,19.32
2023-03-31,388.68,$23.35,16.64
2022-12-31,347.93,$24.40,14.26
2022-09-30,264.43,$19.38,13.64
2022-06-30,237.79,$17.93,13.26
2022-03-31,347.73,$18.34,18.96
2021-12-31,325.29,$20.45,15.91
2021-09-30,343.54,$22.67,15.15
2021-06-30,312.29,$29.19,10.7
2021-03-31,322.37,$22.95,14.05
2020-12-31,227.02,$19.06,11.91
2020-09-30,170.82,$17.43,9.8
2020-06-30,145.9,$12.41,11.75
2019-12-31,163.26,$19.84,8.23
2019-09-30,122.01,$20.72,5.89
2019-06-30,129.84,$24.74,5.25
2019-03-31,111.84,$20.09,5.57
2018-12-31,100.37,$15.15,6.62
2020-03-31,100.73,$14.31,7.04
2018-09-30,160.15,$9.90,16.18
2018-06-30,144.51,$12.81,11.28
2018-03-31,169.09,$16.39,10.32
2017-12-31,168.29,$13.85,12.15
2017-09-30,135.82,$11.00,12.35
2017-03-31,122.42,$11.80,10.38
2016-12-31,103.36,$12.67,8.16
2016-09-30,76.84,$11.56,6.65
2016-06-30,65.69,$13.10,5.01
2016-03-31,60.88,$11.66,5.22
2015-12-31,71.01,$4.94,14.37
2017-06-30,110.34,$7.10,15.55
2015-09-30,58.78,$7.05,8.34
2015-06-30,85.77,$7.45,11.51
2015-03-31,89.24,$7.24,12.33
2014-12-31,99.86,$5.31,18.82
2014-09-30,108.76,$7.40,14.7
2014-06-30,102.52,$5.15,19.89
2014-03-31,92.94,$4.02,23.14
2013-12-31,76.31,$3.60,21.18
2013-09-30,57.06,$0.76,74.84
2013-06-30,48.86,$3.07,15.9
2013-03-31,53.81,$1.07,50.37
2012-12-31,44.56,$-2.30,0.0
2012-09-30,32.02,$-2.51,0.0
2012-06-30,33.32,$-3.69,0.0
2012-03-31,41.99,$-2.00,0.0
2011-12-31,28.93,$0.31,92.24
2011-09-30,16.49,$0.62,26.54
2011-06-30,24.86,$1.54,16.1
2011-03-31,32.58,$3.28,9.94
2010-12-31,22.27,$3.79,5.88
2010-09-30,14.53,$2.93,4.95
2010-06-30,9.12,$4.41,2.07
2010-03-31,9.18,$5.63,1.63
2009-12-31,9.6,$6.14,1.56
