JELD-WEN Holding Price to Free Cash Flow Ratio Historical Data,JELD-WEN Holding Price to Free Cash Flow Ratio Historical Data,JELD-WEN Holding Price to Free Cash Flow Ratio Historical Data,JELD-WEN Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.74,,10.54
2024-06-30,13.47,$1.49,9.02
2024-03-31,21.23,$2.87,7.4
2023-12-31,18.88,$3.07,6.15
2023-09-30,13.36,$3.44,3.88
2023-06-30,17.54,$3.07,5.71
2023-03-31,12.66,$1.53,8.3
2022-12-31,9.65,$-0.47,0.0
2022-09-30,8.75,$-1.32,0.0
2022-06-30,14.59,$-1.35,0.0
2022-03-31,20.28,$-0.50,0.0
2021-12-31,26.36,$0.97,27.23
2021-09-30,25.03,$2.02,12.38
2021-06-30,26.26,$2.84,9.25
2021-03-31,27.69,$3.00,9.23
2020-12-31,25.36,$2.87,8.82
2020-09-30,22.6,$2.78,8.12
2020-06-30,16.11,$2.11,7.65
2020-03-31,9.73,$1.63,5.98
2019-12-31,23.41,$2.07,11.32
2019-09-30,19.29,$1.92,10.05
2019-06-30,21.23,$1.79,11.85
2019-03-31,17.66,$1.53,11.51
2018-12-31,14.21,$1.17,12.17
2018-09-30,24.66,$1.01,24.48
2018-06-30,28.59,$1.15,24.79
2018-03-31,30.62,$1.56,19.64
2017-12-31,39.37,$2.14,18.37
