Sylvamo Price to Free Cash Flow Ratio Historical Data,Sylvamo Price to Free Cash Flow Ratio Historical Data,Sylvamo Price to Free Cash Flow Ratio Historical Data,Sylvamo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,86.97,,12.87
2024-06-30,68.6,$6.76,10.15
2024-03-31,61.74,$6.06,10.2
2023-12-31,49.11,$6.89,7.13
2023-09-30,43.94,$6.39,6.87
2023-06-30,40.45,$4.72,8.57
2023-03-31,46.26,$4.84,9.57
2022-12-31,48.59,$6.51,7.47
2022-09-30,33.9,$15.51,2.19
