Cloudflare Price to Free Cash Flow Ratio Historical Data,Cloudflare Price to Free Cash Flow Ratio Historical Data,Cloudflare Price to Free Cash Flow Ratio Historical Data,Cloudflare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,90.4,,191.12
2024-06-30,82.83,$0.47,175.12
2024-03-31,96.83,$0.42,229.95
2023-12-31,83.26,$0.36,232.57
2023-09-30,63.04,$0.31,204.48
2023-06-30,65.37,$0.19,341.18
2023-03-31,61.66,$0.12,516.42
2022-12-31,45.21,$-0.12,0.0
2022-09-30,55.31,$-0.20,0.0
2022-06-30,43.75,$-0.31,0.0
2022-03-31,119.7,$-0.33,0.0
2021-12-31,131.5,$-0.14,0.0
2021-09-30,112.65,$-0.24,0.0
2021-06-30,105.84,$-0.18,0.0
2021-03-31,70.26,$-0.21,0.0
2020-12-31,75.99,$-0.31,0.0
2020-09-30,41.06,$-0.27,0.0
2020-06-30,35.95,$-0.83,0.0
