Krispy Kreme Price to Free Cash Flow Ratio Historical Data,Krispy Kreme Price to Free Cash Flow Ratio Historical Data,Krispy Kreme Price to Free Cash Flow Ratio Historical Data,Krispy Kreme Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.47,,0.0
2024-06-30,10.76,$-0.67,0.0
2024-03-31,15.24,$-0.63,0.0
2023-12-31,15.09,$-0.45,0.0
2023-09-30,12.47,$-0.07,0.0
2023-06-30,14.73,$0.11,131.05
2023-03-31,15.55,$0.08,184.68
2022-12-31,10.32,$0.17,59.24
2022-09-30,11.53,$0.03,331.32
2022-06-30,13.57,$0.16,83.08
