Casey's General Stores Price to Free Cash Flow Ratio Historical Data,Casey's General Stores Price to Free Cash Flow Ratio Historical Data,Casey's General Stores Price to Free Cash Flow Ratio Historical Data,Casey's General Stores Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,387.08,,24.7
2024-07-31,387.33,$15.67,24.72
2024-04-30,319.16,$12.61,25.3
2024-01-31,270.64,$10.78,25.11
2023-07-31,251.2,$10.37,24.23
2023-04-30,227.11,$11.26,20.17
2023-01-31,233.76,$15.15,15.43
2022-10-31,230.21,$13.79,16.7
2022-07-31,200.15,$10.11,19.8
2022-04-30,198.44,$8.51,23.33
2023-10-31,270.76,$8.39,32.26
2022-01-31,184.82,$12.35,14.96
2021-10-31,188.14,$13.10,14.36
2021-07-31,193.85,$11.71,16.55
2021-04-30,217.48,$14.25,15.26
2021-01-31,183.22,$11.68,15.68
2020-10-31,164.45,$10.57,15.56
2020-07-31,155.0,$8.05,19.26
2020-04-30,147.13,$1.89,77.74
2020-01-31,155.98,$2.97,52.55
2019-10-31,165.3,$2.81,58.81
2019-07-31,156.4,$4.47,34.97
2019-04-30,127.59,$3.81,33.46
2019-01-31,123.78,$1.25,99.01
2018-10-31,121.04,$-0.92,0.0
2018-07-31,104.74,$-3.22,0.0
2018-04-30,92.26,$-4.00,0.0
2018-01-31,115.35,$-2.41,0.0
2017-10-31,108.89,$-0.33,0.0
2017-07-31,101.23,$-0.56,0.0
2017-04-30,106.01,$0.76,139.77
2017-01-31,108.46,$0.95,113.73
2016-10-31,106.43,$2.02,52.58
2016-07-31,125.53,$4.00,31.37
2016-04-30,105.09,$2.15,48.92
2016-01-31,113.07,$2.07,54.65
2015-10-31,99.28,$1.12,88.85
2015-07-31,95.34,$-0.79,0.0
2015-04-30,76.49,$-0.24,0.0
2015-01-31,84.77,$-0.29,0.0
2014-10-31,75.85,$-0.64,0.0
2014-07-31,61.15,$-0.76,0.0
2014-04-30,63.27,$0.23,277.73
2014-01-31,63.11,$-0.02,0.0
2013-10-31,66.8,$0.21,322.09
2013-07-31,60.56,$0.39,154.52
2013-04-30,52.81,$-0.40,0.0
2013-01-31,49.77,$-0.74,0.0
2012-10-31,46.73,$-0.50,0.0
2012-07-31,53.7,$-0.64,0.0
2012-04-30,50.78,$1.46,34.69
2012-01-31,45.79,$1.49,30.79
2011-10-31,44.41,$1.27,34.87
2011-07-31,40.21,$2.92,13.78
2011-04-30,34.76,$1.16,29.89
2011-01-31,37.71,$1.19,31.67
2010-10-31,36.68,$2.39,15.36
2010-07-31,33.73,$2.10,16.08
2010-04-30,33.97,$1.70,20.03
2010-01-31,26.92,$1.82,14.79
2009-10-31,27.59,$1.89,14.6
