International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data,International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data,International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data,International Flavors & Fragrances Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,103.99,,26.3
2024-06-30,95.21,$3.95,24.08
2024-03-31,85.63,$3.87,22.1
2023-12-31,80.25,$3.78,21.25
2023-09-30,66.9,$1.88,35.51
2023-06-30,77.19,$1.14,67.87
2023-03-31,88.26,$-0.02,0.0
2022-12-31,99.66,$-0.39,0.0
2022-09-30,85.67,$0.25,344.2
2022-06-30,111.43,$1.16,95.85
2022-03-31,122.03,$2.55,47.79
2021-12-31,139.12,$4.37,31.83
2021-09-30,122.82,$5.54,22.19
2021-06-30,136.41,$5.69,23.95
2021-03-31,126.81,$6.27,20.23
2020-12-31,98.32,$4.73,20.79
2020-09-30,109.84,$4.91,22.36
2020-06-30,109.13,$4.80,22.74
2020-03-31,90.41,$4.28,21.14
2019-12-31,113.46,$4.47,25.39
2019-09-30,107.26,$4.16,25.76
2019-06-30,126.05,$4.08,30.92
2019-03-31,111.33,$3.63,30.68
2018-12-31,115.39,$3.13,36.89
2018-09-30,118.91,$3.18,37.43
2018-06-30,105.4,$3.20,32.93
2018-03-31,115.77,$3.04,38.08
2017-12-31,128.38,$3.50,36.66
2017-09-30,119.68,$3.49,34.25
2017-06-30,112.52,$3.88,29.0
2017-03-31,109.94,$5.05,21.75
2016-12-31,97.28,$5.38,18.07
2016-09-30,117.41,$5.16,22.76
2016-06-30,103.06,$4.64,22.22
2016-03-31,92.6,$4.65,19.92
2015-12-31,96.9,$4.58,21.15
2015-09-30,83.24,$4.79,17.39
2015-06-30,87.64,$5.07,17.29
2015-03-31,93.75,$4.77,19.64
2014-12-31,80.62,$4.64,17.36
2014-09-30,75.91,$4.11,18.47
2014-06-30,82.17,$3.95,20.81
2014-03-31,75.09,$3.84,19.54
2013-12-31,67.2,$3.67,18.31
2013-09-30,64.04,$4.07,15.74
2013-06-30,58.21,$2.34,24.89
2013-03-31,59.11,$2.01,29.4
2012-12-31,51.07,$2.44,20.96
2012-09-30,45.5,$0.90,50.49
2012-06-30,41.61,$2.29,18.13
2012-03-31,44.25,$1.73,25.62
2011-12-31,39.37,$0.77,51.37
2011-09-30,41.98,$1.19,35.28
2011-06-30,47.72,$0.94,50.87
2011-03-31,46.08,$1.70,27.03
2010-12-31,40.93,$2.62,15.64
2010-09-30,35.55,$2.65,13.44
2010-06-30,30.91,$3.13,9.87
2010-03-31,34.55,$3.38,10.22
2009-12-31,29.65,$2.87,10.35
