Roblox Price to Free Cash Flow Ratio Historical Data,Roblox Price to Free Cash Flow Ratio Historical Data,Roblox Price to Free Cash Flow Ratio Historical Data,Roblox Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.86,,57.25
2024-06-30,37.21,$0.70,53.45
2024-03-31,38.18,$0.39,97.9
2023-12-31,45.72,$0.22,204.93
2023-09-30,28.96,$0.03,905.0
2023-06-30,40.3,$-0.18,0.0
2023-03-31,44.98,$-0.14,0.0
2022-12-31,28.46,$-0.10,0.0
2022-09-30,35.84,$0.24,150.15
2022-06-30,32.86,$0.66,50.16
2022-03-31,46.24,$0.81,57.27
2021-12-31,103.16,$1.12,92.22
