Affiliated Managers Price to Free Cash Flow Ratio Historical Data,Affiliated Managers Price to Free Cash Flow Ratio Historical Data,Affiliated Managers Price to Free Cash Flow Ratio Historical Data,Affiliated Managers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,196.21,,7.66
2024-06-30,156.22,$25.61,6.1
2024-03-31,167.45,$19.78,8.47
2023-12-31,151.39,$20.42,7.41
2023-09-30,130.31,$17.29,7.54
2023-06-30,149.84,$17.68,8.47
2023-03-31,142.36,$24.12,5.9
2022-12-31,158.36,$21.29,7.44
2022-09-30,111.79,$25.90,4.32
2022-06-30,116.53,$26.86,4.34
2022-03-31,140.85,$26.79,5.26
2021-12-31,164.39,$27.92,5.89
2021-09-30,150.97,$28.24,5.35
2021-06-30,154.08,$25.89,5.95
2021-03-31,148.89,$23.84,6.25
2020-12-31,101.6,$21.43,4.74
2020-09-30,68.3,$19.40,3.52
2020-06-30,74.47,$20.07,3.71
2020-03-31,59.06,$20.31,2.91
2019-12-31,84.3,$18.17,4.64
2019-09-30,82.61,$17.39,4.75
2019-06-30,90.95,$16.33,5.57
2019-03-31,105.36,$16.95,6.22
2018-12-31,95.56,$20.85,4.58
2018-09-30,133.74,$21.74,6.15
2018-06-30,145.14,$22.68,6.4
2018-03-31,184.74,$21.16,8.73
2017-12-31,199.69,$19.66,10.16
2017-09-30,184.49,$25.69,7.18
2017-06-30,161.02,$25.13,6.41
2017-03-31,158.95,$20.07,7.92
2016-12-31,140.7,$24.04,5.85
2016-06-30,136.31,$18.43,7.4
2016-03-31,157.26,$18.94,8.3
2015-12-31,154.7,$20.54,7.53
2015-09-30,165.57,$2.12,77.92
2015-06-30,211.68,$2.52,84.16
2015-03-31,207.98,$2.93,70.9
2016-09-30,140.12,$6.51,21.53
2014-12-31,205.52,$24.28,8.47
2014-09-30,194.01,$20.89,9.29
2014-06-30,198.9,$18.98,10.48
2014-03-31,193.71,$18.13,10.68
2013-12-31,210.01,$16.46,12.76
2013-09-30,176.86,$16.18,10.93
2013-06-30,158.75,$15.54,10.22
2013-03-31,148.71,$2.15,69.12
2012-12-31,126.03,$1.35,93.29
2012-09-30,119.1,$2.57,46.36
2012-06-30,105.98,$2.00,53.02
2011-12-31,92.91,$13.06,7.11
2011-09-30,75.58,$18.80,4.02
2011-06-30,98.24,$15.23,6.45
2011-03-31,105.91,$14.83,7.14
2010-12-31,96.08,$14.75,6.51
2012-03-31,108.27,$7.64,14.18
2010-09-30,75.54,$8.47,8.92
2010-06-30,58.85,$7.33,8.03
2010-03-31,76.5,$6.66,11.48
2009-12-31,65.22,$5.56,11.74
