Frontiers Price to Free Cash Flow Ratio Historical Data,Frontiers Price to Free Cash Flow Ratio Historical Data,Frontiers Price to Free Cash Flow Ratio Historical Data,Frontiers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.35,,0.0
2024-06-30,4.93,$-1.43,0.0
2024-03-31,8.11,$-1.43,0.0
2023-12-31,5.46,$-1.42,0.0
2023-09-30,4.84,$-0.73,0.0
2023-06-30,9.67,$-0.44,0.0
2023-03-31,9.84,$-0.28,0.0
2022-12-31,10.27,$-0.55,0.0
2022-09-30,9.7,$-0.38,0.0
2022-06-30,9.37,$-0.54,0.0
2022-03-31,11.33,$0.46,24.57
