MercadoLibre Price to Free Cash Flow Ratio Historical Data,MercadoLibre Price to Free Cash Flow Ratio Historical Data,MercadoLibre Price to Free Cash Flow Ratio Historical Data,MercadoLibre Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,2061.66,,18.6
2024-06-30,1643.4,$110.82,14.83
2024-03-31,1511.96,$102.71,14.72
2023-12-31,1571.54,$90.79,17.31
2023-09-30,1267.88,$85.27,14.87
2023-06-30,1184.6,$80.16,14.78
2023-03-31,1318.06,$70.79,18.62
2022-12-31,846.24,$48.43,17.47
2022-09-30,827.78,$31.70,26.12
2022-06-30,636.87,$21.87,29.13
2022-03-31,1189.48,$8.11,146.65
2021-12-31,1348.4,$7.87,171.31
2021-09-30,1679.4,$0.14,12339.46
2021-06-30,1557.79,$4.05,384.92
2021-03-31,1472.14,$13.85,106.29
2020-12-31,1675.22,$18.80,89.12
2020-09-30,1082.48,$16.40,66.02
2020-06-30,985.77,$13.99,70.47
2020-03-31,488.58,$1.53,319.42
2019-12-31,571.94,$6.45,88.61
2019-09-30,551.23,$5.63,97.91
2019-06-30,611.77,$3.54,172.88
2019-03-31,507.73,$6.65,76.41
2018-12-31,292.85,$2.99,97.8
2018-09-30,340.47,$2.92,116.41
2018-06-30,298.93,$1.43,209.6
2018-03-31,356.39,$0.96,372.6
2017-12-31,314.66,$4.40,71.56
2017-09-30,258.81,$4.93,52.52
2017-06-30,250.62,$6.74,37.16
2017-03-31,211.13,$5.27,40.09
2016-12-31,155.78,$2.57,60.7
2016-09-30,184.37,$3.86,47.76
2016-06-30,140.1,$2.11,66.46
2016-03-31,117.24,$-0.70,0.0
2015-12-31,113.6,$1.02,111.87
2015-09-30,90.39,$0.03,3298.96
2015-06-30,140.5,$1.19,118.41
2014-12-31,126.39,$3.68,34.37
2014-09-30,107.43,$2.53,42.39
2014-06-30,94.19,$2.31,40.78
2014-03-31,93.73,$1.70,55.1
2013-12-31,106.04,$1.09,96.98
2015-03-31,121.4,$1.76,69.06
2013-09-30,132.54,$2.22,59.78
2013-06-30,105.75,$2.13,49.64
2013-03-31,94.63,$3.06,30.93
2012-12-31,76.87,$2.79,27.56
2012-09-30,80.67,$2.20,36.6
2012-06-30,73.97,$2.27,32.6
2012-03-31,95.29,$1.66,57.24
2011-12-31,77.43,$1.60,48.49
2011-09-30,52.27,$1.55,33.71
2011-06-30,77.04,$1.20,64.2
2011-03-31,79.18,$1.29,61.43
2010-12-31,64.58,$1.24,52.14
2010-09-30,69.95,$1.21,57.92
2010-06-30,50.92,$1.30,39.27
2010-03-31,46.72,$1.20,39.04
2009-12-31,50.26,$1.04,48.34
