IRhythm Technologies Price to Free Cash Flow Ratio Historical Data,IRhythm Technologies Price to Free Cash Flow Ratio Historical Data,IRhythm Technologies Price to Free Cash Flow Ratio Historical Data,IRhythm Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.49,,0.0
2024-06-30,107.64,$-3.10,0.0
2024-03-31,116.0,$-3.66,0.0
2023-12-31,107.04,$-2.97,0.0
2023-09-30,94.26,$-1.82,0.0
2023-06-30,104.32,$-1.64,0.0
2023-03-31,124.03,$-1.56,0.0
2022-12-31,93.67,$-1.77,0.0
2022-09-30,125.28,$-2.55,0.0
2022-06-30,108.03,$-2.32,0.0
2022-03-31,157.47,$-2.17,0.0
2021-12-31,117.69,$-2.24,0.0
2021-09-30,58.56,$-1.45,0.0
2021-06-30,66.35,$-1.37,0.0
2021-03-31,138.86,$-1.60,0.0
2020-12-31,237.21,$-0.98,0.0
2020-09-30,238.11,$-1.83,0.0
2020-06-30,115.89,$-2.21,0.0
2020-03-31,81.35,$-1.86,0.0
2019-12-31,68.09,$-1.68,0.0
2019-09-30,74.11,$-1.27,0.0
2019-06-30,79.08,$-1.38,0.0
2019-03-31,74.96,$-1.59,0.0
2018-12-31,69.48,$-1.43,0.0
2018-09-30,94.66,$-1.39,0.0
2018-06-30,81.13,$-1.31,0.0
2018-03-31,62.95,$-1.09,0.0
2017-12-31,56.05,$-0.82,0.0
2017-09-30,51.88,$-4.28,0.0
