Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data,Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data,Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data,Royal Bank Of Canada Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,126.47,,0.0
2024-07-31,111.74,$-4.25,0.0
2024-04-30,95.59,$-10.29,0.0
2024-01-31,95.37,$3.02,31.53
2023-10-31,77.24,$13.34,5.79
2023-07-31,94.69,$19.17,4.94
2023-04-30,93.89,$20.22,4.64
2023-01-31,95.82,$15.43,6.21
2022-10-31,85.72,$10.57,8.11
2022-07-31,89.47,$15.76,5.68
2022-04-30,91.74,$24.36,3.77
2022-01-31,102.63,$20.63,4.98
2021-10-31,92.81,$32.85,2.83
2021-07-31,89.52,$28.27,3.17
2021-04-30,83.72,$27.72,3.02
2021-01-31,70.32,$77.30,0.91
2020-10-31,60.24,$70.91,0.85
2020-07-31,58.81,$76.53,0.77
2020-04-30,51.83,$63.14,0.82
2020-01-31,65.59,$10.99,5.97
2019-10-31,66.34,$6.36,10.43
2019-07-31,64.27,$-2.62,0.0
2019-04-30,64.28,$3.87,16.6
2019-01-31,60.86,$6.15,9.9
2018-10-31,57.62,$8.31,6.93
2018-07-31,61.04,$14.82,4.12
2018-04-30,58.99,$12.37,4.77
2018-01-31,65.81,$23.00,2.86
2017-10-31,59.52,$18.87,3.16
2017-07-31,56.28,$20.78,2.71
2017-04-30,51.21,$15.86,3.23
2017-01-31,53.26,$14.04,3.79
2016-10-31,45.89,$13.24,3.47
2016-07-31,44.33,$9.60,4.62
2016-03-31,41.01,$18.77,2.18
2016-01-31,36.5,$16.84,2.17
2015-10-31,40.03,$12.82,3.12
2015-07-31,40.67,$-3.31,0.0
2015-04-30,45.87,$8.25,5.56
2015-01-31,38.67,$7.44,5.2
2014-10-31,48.15,$8.84,5.45
2014-07-31,49.47,$27.56,1.79
2014-04-30,44.37,$5.54,8.01
2014-01-31,40.71,$6.95,5.86
2013-10-31,43.78,$4.29,10.21
2013-07-31,40.22,$1.50,26.74
2013-04-30,38.61,$1.84,20.99
2013-01-31,39.43,$-3.58,0.0
2012-10-31,35.73,$-0.51,0.0
2012-07-31,31.7,$0.52,61.1
2012-04-30,35.44,$8.18,4.33
2012-01-31,31.79,$9.51,3.34
2011-10-31,29.4,$-2.29,0.0
2011-07-31,31.93,$-1.57,0.0
2011-04-30,37.04,$-6.62,0.0
2011-01-31,31.33,$-3.62,0.0
2010-10-31,31.12,$6.87,4.53
2010-07-31,30.2,$6.59,4.59
2010-04-30,34.63,$4.54,7.63
2010-01-31,27.85,$3.16,8.82
2009-10-31,28.34,$4.03,7.03
