Oruka Therapeutics Price to Free Cash Flow Ratio Historical Data,Oruka Therapeutics Price to Free Cash Flow Ratio Historical Data,Oruka Therapeutics Price to Free Cash Flow Ratio Historical Data,Oruka Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.81,,0.0
2024-06-30,27.94,$-5.71,0.0
2024-03-31,12.84,$-4.11,0.0
2023-12-31,12.4,$-4.18,0.0
2023-09-30,14.66,$-4.54,0.0
2023-06-30,14.81,$-5.23,0.0
2023-03-31,14.52,$-6.84,0.0
2022-12-31,17.29,$-9.09,0.0
2022-09-30,15.03,$-12.55,0.0
2022-06-30,18.16,$-14.53,0.0
2022-03-31,16.78,$-14.74,0.0
2021-12-31,15.68,$-16.24,0.0
2021-09-30,21.59,$-21.87,0.0
2021-06-30,25.46,$-8.91,0.0
2021-03-31,26.62,$-12.10,0.0
2020-12-31,29.25,$-19.74,0.0
2020-09-30,32.24,$-24.30,0.0
2020-06-30,48.29,$-35.79,0.0
2020-03-31,20.35,$-35.40,0.0
2019-12-31,41.65,$-43.67,0.0
2019-09-30,39.02,$-50.43,0.0
2019-06-30,53.39,$-72.33,0.0
2019-03-31,49.05,$-101.00,0.0
2018-12-31,43.79,$-128.76,0.0
2018-09-30,73.52,$-219.58,0.0
2018-06-30,73.0,$-228.89,0.0
2018-03-31,65.57,$-307.32,0.0
2017-12-31,177.24,$-361.72,0.0
2017-09-30,150.98,$-340.85,0.0
2017-06-30,315.1,$-396.11,0.0
2017-03-31,334.79,$-367.68,0.0
2016-12-31,374.18,$-357.17,0.0
2016-09-30,371.55,$-438.23,0.0
2016-06-30,380.74,$-237.00,0.0
2016-03-31,455.58,$-232.25,0.0
2015-12-31,610.5,$-362.03,0.0
2015-09-30,651.2,$-342.53,0.0
2015-06-30,1056.89,$-603.76,0.0
2015-03-31,726.13,$-620.39,0.0
2014-12-31,876.39,$-694.53,0.0
2014-09-30,1139.61,$-992.55,0.0
2014-06-30,1341.79,$-786.87,0.0
2014-03-31,1709.41,$-843.26,0.0
2013-12-31,1543.98,$-931.53,0.0
2013-09-30,1470.46,$-480.70,0.0
2013-06-30,1185.56,$-537.49,0.0
2013-03-31,2187.31,$-385.85,0.0
2012-12-31,2095.4,$-1.84,0.0
2012-09-30,1909.02,$-5.11,0.0
2012-06-30,2646.83,$-5.07,0.0
2012-03-31,5017.94,$-4.76,0.0
2011-12-31,5514.22,$-4.16,0.0
2011-09-30,6175.93,$-0.71,0.0
2011-06-30,8877.9,$-0.78,0.0
2011-03-31,14061.27,$-0.79,0.0
2010-12-31,17480.09,$-0.98,0.0
2010-09-30,21009.19,$-1.57,0.0
2010-06-30,18913.78,$-2.72,0.0
2010-03-31,30052.51,$-3.82,0.0
2009-12-31,17976.37,$-5.87,0.0
