Community Financial System Price to Free Cash Flow Ratio Historical Data,Community Financial System Price to Free Cash Flow Ratio Historical Data,Community Financial System Price to Free Cash Flow Ratio Historical Data,Community Financial System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,62.72,,15.6
2024-06-30,46.84,$4.02,11.65
2024-03-31,47.16,$4.13,11.41
2023-12-31,50.64,$4.04,12.52
2023-09-30,40.67,$4.55,8.94
2023-06-30,44.71,$4.19,10.66
2023-03-31,49.63,$4.24,11.71
2022-12-31,59.04,$3.77,15.68
2022-09-30,55.94,$3.35,16.7
2022-06-30,58.51,$3.70,15.81
2022-03-31,64.41,$3.27,19.68
2021-12-31,67.99,$3.48,19.53
2021-09-30,62.09,$3.56,17.43
2021-06-30,68.21,$2.89,23.59
2021-03-31,68.81,$3.77,18.27
2020-12-31,55.6,$3.10,17.96
2020-09-30,48.28,$3.55,13.59
2020-06-30,50.19,$3.84,13.08
2020-03-31,51.39,$3.58,14.37
2019-12-31,61.55,$3.77,16.34
2019-09-30,53.21,$3.34,15.92
2019-06-30,56.44,$3.60,15.67
2019-03-31,50.94,$3.52,14.47
2018-12-31,49.38,$4.03,12.24
2018-09-30,51.4,$4.12,12.47
2018-06-30,49.42,$3.93,12.58
2018-03-31,44.56,$3.89,11.46
2017-12-31,44.45,$3.62,12.29
2017-09-30,45.4,$3.18,14.29
2017-06-30,45.52,$3.08,14.77
2017-03-31,44.63,$3.10,14.41
2016-12-31,49.88,$2.77,17.99
2016-09-30,38.63,$2.99,12.94
2016-06-30,32.77,$2.87,11.42
2016-03-31,30.24,$2.69,11.24
2015-12-31,31.36,$2.59,12.12
2015-09-30,28.96,$2.38,12.17
2015-06-30,29.17,$3.17,9.19
2015-03-31,27.11,$3.11,8.73
2014-12-31,28.97,$3.36,8.62
2014-09-30,25.32,$3.03,8.35
2014-03-31,28.95,$2.38,12.16
2013-12-31,29.22,$2.21,13.25
2013-09-30,24.94,$2.63,9.49
2013-06-30,22.36,$1.63,13.75
2013-03-31,21.28,$1.73,12.29
2012-12-31,19.46,$1.74,11.22
2014-06-30,27.06,$1.33,20.42
2012-09-30,19.86,$2.39,8.32
2012-06-30,18.92,$2.29,8.27
2012-03-31,19.88,$2.45,8.13
2011-12-31,19.03,$2.34,8.12
2011-09-30,15.38,$2.63,5.84
2011-06-30,16.61,$2.53,6.56
2011-03-31,16.1,$2.81,5.72
2010-12-31,18.24,$2.45,7.46
2010-09-30,14.97,$1.60,9.35
2010-06-30,14.19,$1.48,9.57
2010-03-31,14.51,$1.69,8.57
2009-12-31,12.19,$0.92,13.23
