Bicycle Therapeutics Price to Free Cash Flow Ratio Historical Data,Bicycle Therapeutics Price to Free Cash Flow Ratio Historical Data,Bicycle Therapeutics Price to Free Cash Flow Ratio Historical Data,Bicycle Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.74,,0.0
2024-06-30,20.24,$-3.53,0.0
2024-03-31,24.9,$-1.83,0.0
2023-12-31,18.08,$-1.79,0.0
2023-09-30,20.09,$-1.48,0.0
2023-06-30,25.52,$-1.85,0.0
2023-03-31,21.27,$-4.11,0.0
2022-12-31,29.6,$-3.54,0.0
2022-09-30,23.26,$-2.93,0.0
2022-06-30,16.78,$-1.73,0.0
2022-03-31,43.88,$-1.08,0.0
2021-12-31,60.87,$-0.67,0.0
2021-09-30,41.59,$-1.11,0.0
2021-06-30,30.36,$-2.56,0.0
2021-03-31,29.87,$-2.80,0.0
2020-12-31,17.95,$-0.99,0.0
2020-09-30,19.05,$-1.44,0.0
2020-06-30,15.74,$-0.40,0.0
2020-03-31,13.65,$-1.57,0.0
