First Majestic Silver Price to Free Cash Flow Ratio Historical Data,First Majestic Silver Price to Free Cash Flow Ratio Historical Data,First Majestic Silver Price to Free Cash Flow Ratio Historical Data,First Majestic Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,6.33,,0.0
2024-06-30,5.92,$-0.16,0.0
2024-03-31,5.87,$-0.19,0.0
2023-12-31,6.14,$-0.32,0.0
2023-09-30,5.11,$-0.56,0.0
2023-06-30,5.63,$-0.48,0.0
2023-03-31,7.17,$-0.73,0.0
2022-12-31,8.29,$-0.76,0.0
2022-09-30,7.57,$-0.39,0.0
2022-06-30,7.13,$-0.63,0.0
2022-03-31,13.06,$-0.55,0.0
2021-12-31,11.02,$-0.49,0.0
2021-09-30,11.2,$-0.57,0.0
2021-06-30,15.66,$-0.22,0.0
2021-03-31,15.43,$-0.22,0.0
2020-12-31,13.31,$-0.15,0.0
2020-09-30,9.43,$-0.08,0.0
2020-06-30,9.85,$-0.17,0.0
2020-03-31,6.13,$-0.00,0.0
2019-12-31,12.14,$0.11,114.34
2019-09-30,9.0,$-0.08,0.0
2019-06-30,7.83,$-0.29,0.0
2019-03-31,6.52,$-0.33,0.0
2018-12-31,5.83,$-0.43,0.0
2018-09-30,5.63,$-0.34,0.0
2018-06-30,7.56,$-0.22,0.0
2018-03-31,6.05,$-0.12,0.0
2017-12-31,6.68,$-0.03,0.0
2017-09-30,6.77,$0.05,124.3
2017-06-30,8.23,$0.16,51.96
2017-03-31,8.04,$0.15,52.49
2016-12-31,7.56,$0.23,33.06
2016-09-30,10.2,$0.18,55.2
2016-06-30,13.45,$0.12,111.06
2016-03-31,6.42,$0.08,84.56
2015-12-31,3.24,$0.73,4.46
2015-09-30,3.17,$0.19,16.88
2015-03-31,5.36,$0.51,10.51
2014-12-31,4.97,$0.50,9.85
2014-09-30,7.73,$-0.58,0.0
2014-06-30,10.71,$0.16,65.76
2014-03-31,9.55,$-0.24,0.0
2013-12-31,9.71,$-0.39,0.0
2015-06-30,4.78,$-0.03,0.0
2013-09-30,11.75,$-0.46,0.0
2013-06-30,10.49,$-0.48,0.0
2013-03-31,16.02,$-0.37,0.0
2012-12-31,20.0,$-0.33,0.0
2012-09-30,22.95,$-0.31,0.0
2012-06-30,14.31,$-0.17,0.0
2012-03-31,16.42,$0.12,139.75
2011-12-31,16.68,$0.30,55.65
2011-09-30,15.06,$0.87,17.27
2011-06-30,18.26,$0.85,21.53
2011-03-31,21.04,$0.65,32.32
2010-12-31,14.38,$0.42,34.49
2009-12-31,3.9,0,0.0
2009-09-30,2.51,0,0.0
2009-06-30,2.04,0,0.0
2009-03-31,1.66,0,0.0
