Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data,Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data,Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data,Virtus Investment Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,223.65,,10.2
2024-06-30,223.97,$21.93,10.22
2024-03-31,243.83,$31.95,7.63
2023-12-31,237.71,$30.96,7.68
2023-09-30,196.53,$26.89,7.31
2023-06-30,190.57,$25.74,7.4
2023-03-31,182.05,$21.39,8.51
2022-12-31,181.63,$16.63,10.92
2022-09-30,149.93,$50.01,3.0
2022-06-30,159.56,$57.50,2.78
2022-03-31,222.09,$53.37,4.16
2021-12-31,273.27,$82.46,3.31
2021-09-30,284.06,$71.63,3.97
2021-06-30,253.51,$57.87,4.38
2021-03-31,214.29,$23.90,8.97
2020-12-31,196.72,$-28.48,0.0
2020-09-30,125.04,$-39.60,0.0
2020-06-30,104.36,$-44.30,0.0
2020-03-31,67.78,$-36.38,0.0
2019-12-31,107.82,$-5.43,0.0
2019-09-30,97.35,$-9.87,0.0
2019-06-30,94.08,$-8.20,0.0
2019-03-31,85.08,$-4.31,0.0
2018-12-31,68.84,$-8.71,0.0
2018-09-30,98.04,$-25.37,0.0
2018-06-30,109.9,$-51.72,0.0
2018-03-31,105.92,$-30.64,0.0
2017-12-31,98.09,$-25.44,0.0
2017-09-30,98.56,$-9.65,0.0
2017-06-30,93.87,$3.92,23.95
2017-03-31,89.24,$4.70,18.98
2016-12-31,99.07,$2.42,41.01
2016-09-30,81.73,$-17.31,0.0
2016-06-30,59.13,$-17.62,0.0
2016-03-31,64.48,$-25.61,0.0
2015-12-31,96.49,$-23.90,0.0
2015-09-30,82.22,$-2.29,0.0
2015-06-30,107.79,$3.17,34.01
2015-03-31,106.24,$-12.65,0.0
2014-12-31,138.06,$-9.57,0.0
2014-09-30,140.3,$-13.81,0.0
2014-06-30,170.67,$-9.17,0.0
2013-12-31,161.24,$3.18,50.68
2013-09-30,131.09,$11.03,11.89
2013-06-30,142.07,$7.06,20.13
2013-03-31,150.14,$3.47,43.31
2012-12-31,97.48,$7.30,13.36
2014-03-31,139.58,$-2.13,0.0
2012-09-30,69.32,$3.82,18.16
2012-06-30,65.29,$5.11,12.78
2012-03-31,69.14,$3.00,23.02
2011-12-31,61.26,$3.35,18.28
2011-09-30,43.22,$2.48,17.41
2011-06-30,48.92,$2.61,18.74
2011-03-31,47.49,$3.21,14.77
2010-12-31,36.57,$3.39,10.79
2010-09-30,24.39,$2.92,8.35
2010-06-30,15.09,$2.59,5.83
2010-03-31,16.8,$1.03,16.36
2009-12-31,12.82,$-2.15,0.0
