Roivant Sciences Price to Free Cash Flow Ratio Historical Data,Roivant Sciences Price to Free Cash Flow Ratio Historical Data,Roivant Sciences Price to Free Cash Flow Ratio Historical Data,Roivant Sciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.91,,0.0
2024-06-30,10.57,$-0.84,0.0
2024-03-31,10.54,$-0.92,0.0
2023-12-31,11.23,$-1.03,0.0
2023-09-30,11.68,$-1.14,0.0
2023-06-30,10.08,$-1.16,0.0
2023-03-31,7.38,$-1.20,0.0
2022-12-31,7.99,$-1.20,0.0
2022-09-30,3.22,$-1.27,0.0
2022-06-30,4.07,$-1.19,0.0
2022-03-31,4.94,$-1.04,0.0
2021-12-31,10.08,$-0.96,0.0
2021-09-30,9.35,$-1.30,0.0
