LATAM Airlines Group S.A Price to Free Cash Flow Ratio Historical Data,LATAM Airlines Group S.A Price to Free Cash Flow Ratio Historical Data,LATAM Airlines Group S.A Price to Free Cash Flow Ratio Historical Data,LATAM Airlines Group S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.37,,5.26
2024-06-30,3.21,$5.01,0.64
2024-03-31,3.21,$4.98,0.64
2023-12-31,3.21,$5.01,0.64
2023-09-30,3.21,$-54.29,0.0
2023-06-30,3.21,$-135.25,0.0
2023-03-31,3.21,$294.56,0.01
2022-12-31,3.21,$-12.73,0.0
2022-09-30,3.21,$70.12,0.05
2022-06-30,3.21,$-587.10,0.0
2022-03-31,3.21,"$-1,762.93",0.0
2021-12-31,3.21,"$-2,197.68",0.0
2021-09-30,3.21,"$-2,972.11",0.0
2021-06-30,3.21,"$-3,820.74",0.0
2021-03-31,3.21,"$-3,560.46",0.0
2020-12-31,3.21,"$-2,451.80",0.0
2020-09-30,3.21,"$-2,022.38",0.0
2020-06-30,3.21,"$9,002.87",0.0
2020-03-31,2.56,"$5,498.59",0.0
2019-12-31,9.82,"$5,278.19",0.0
2019-09-30,10.73,"$8,116.54",0.0
2019-06-30,9.06,$-706.94,0.0
2019-03-31,10.18,"$4,250.49",0.0
2018-12-31,9.91,"$5,396.90",0.0
2018-09-30,9.05,"$4,874.25",0.0
2018-06-30,9.52,"$5,671.51",0.0
2018-03-31,14.81,"$5,296.75",0.0
2017-12-31,13.38,"$4,335.00",0.0
2017-09-30,12.75,"$3,557.31",0.0
2017-06-30,10.65,"$3,038.40",0.0
2017-03-31,12.16,"$1,658.98",0.01
2016-12-31,7.85,$713.70,0.01
2016-06-30,6.34,$-395.55,0.0
2016-03-31,6.72,$-304.54,0.0
2015-12-31,5.17,$743.55,0.01
2015-09-30,4.68,"$2,675.69",0.0
2015-06-30,6.76,"$-1,207.35",0.0
2015-03-31,7.74,$434.30,0.02
2014-12-31,11.5,$394.69,0.03
2016-09-30,7.79,$349.83,0.02
2014-09-30,10.91,"$6,579.63",0.0
2014-06-30,12.88,"$5,164.02",0.0
2014-03-31,14.45,"$2,259.69",0.01
2013-12-31,15.66,$985.54,0.02
2013-09-30,14.47,"$-6,069.73",0.0
2013-06-30,16.21,"$-7,283.95",0.0
2013-03-31,20.86,"$-3,754.10",0.0
2012-12-31,22.6,"$-4,600.08",0.0
2012-09-30,24.25,$-620.56,0.0
2012-06-30,25.03,"$-3,000.35",0.0
2012-03-31,27.84,"$-3,846.33",0.0
2011-12-31,22.01,"$-3,000.35",0.0
2011-09-30,19.56,"$-3,680.94",0.0
2011-06-30,26.85,$576.24,0.05
2011-03-31,24.07,$576.24,0.04
2010-12-31,28.59,$576.24,0.05
2009-12-31,15.14,"$1,877.39",0.01
2009-09-30,11.97,0,0.0
2009-06-30,10.84,0,0.0
2009-03-31,7.53,0,0.0
