Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data,Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data,Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data,Enlight Renewable Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.13,,0.0
2024-06-30,16.16,$-6.85,0.0
2024-03-31,16.92,$-6.03,0.0
2023-12-31,19.14,$-8.19,0.0
