Liberty Broadband Price to Free Cash Flow Ratio Historical Data,Liberty Broadband Price to Free Cash Flow Ratio Historical Data,Liberty Broadband Price to Free Cash Flow Ratio Historical Data,Liberty Broadband Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.06,,0.0
2024-06-30,54.82,$-0.68,0.0
2024-03-31,57.23,$-1.38,0.0
2023-12-31,80.59,$-1.40,0.0
2023-09-30,91.32,$-1.58,0.0
2023-06-30,80.11,$-2.16,0.0
2023-03-31,81.7,$-1.93,0.0
2022-12-31,76.27,$-1.50,0.0
2022-09-30,73.8,$-2.20,0.0
2022-06-30,115.64,$-1.40,0.0
2022-03-31,135.32,$-1.20,0.0
2021-12-31,161.1,$-0.70,0.0
2021-09-30,172.7,$-0.09,0.0
2021-06-30,173.66,$-0.13,0.0
2021-03-31,150.15,$0.39,389.29
2020-12-31,158.37,$-0.54,0.0
2020-09-30,142.87,$-0.26,0.0
2020-06-30,123.96,$-0.18,0.0
2020-03-31,110.72,$-0.22,0.0
2019-12-31,125.75,$-0.21,0.0
2019-09-30,104.67,$-0.20,0.0
2019-06-30,104.22,$-0.22,0.0
2019-03-31,91.74,$-0.19,0.0
2018-12-31,72.03,$-0.14,0.0
2018-09-30,84.3,$-0.12,0.0
2018-06-30,75.72,$-0.14,0.0
2018-03-31,85.69,$-0.13,0.0
2017-12-31,85.16,$-0.16,0.0
2017-09-30,95.3,$-0.18,0.0
2017-06-30,86.75,$-0.13,0.0
2017-03-31,86.4,$-0.13,0.0
2016-12-31,74.07,$-0.22,0.0
2016-09-30,71.48,$-0.30,0.0
2016-03-31,57.95,$0.18,321.41
2015-12-31,51.86,$0.34,154.58
2015-09-30,51.17,$0.54,94.36
2015-06-30,51.16,$0.62,82.28
