Denison Mine Corp Price to Free Cash Flow Ratio Historical Data,Denison Mine Corp Price to Free Cash Flow Ratio Historical Data,Denison Mine Corp Price to Free Cash Flow Ratio Historical Data,Denison Mine Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.23,,0.0
2024-06-30,1.99,$-0.03,0.0
2024-03-31,1.95,$-0.03,0.0
2023-12-31,1.77,$-0.03,0.0
2023-09-30,1.65,$-0.03,0.0
2023-06-30,1.25,$-0.03,0.0
2023-03-31,1.09,$-0.03,0.0
2022-12-31,1.15,$-0.03,0.0
2022-09-30,1.19,$-0.03,0.0
2022-06-30,0.97,$-0.03,0.0
2022-03-31,1.6,$-0.03,0.0
2021-12-31,1.37,$-0.02,0.0
2021-09-30,1.47,$-0.02,0.0
2021-06-30,1.19,$-0.02,0.0
2021-03-31,1.09,$-0.02,0.0
2020-12-31,0.65,$-0.02,0.0
2020-09-30,0.41,$-0.02,0.0
2020-06-30,0.34,$-0.02,0.0
2020-03-31,0.25,$-0.02,0.0
2019-12-31,0.42,$-0.03,0.0
2019-09-30,0.45,$-0.03,0.0
2019-06-30,0.53,$-0.03,0.0
2019-03-31,0.52,$-0.04,0.0
2018-12-31,0.46,$-0.04,0.0
2018-06-30,0.5,$-0.03,0.0
2018-03-31,0.45,$-0.03,0.0
2017-12-31,0.55,$0.02,26.07
2017-09-30,0.46,$0.03,17.9
2017-06-30,0.44,$0.03,17.48
2017-03-31,0.62,$0.03,23.57
2016-12-31,0.51,$-0.02,0.0
2016-09-30,0.47,$-0.02,0.0
2016-06-30,0.55,$-0.02,0.0
2016-03-31,0.55,$-0.02,0.0
2015-12-31,0.5,$-0.04,0.0
2015-09-30,0.38,$-0.05,0.0
2015-06-30,0.75,$-0.04,0.0
2015-03-31,0.79,$-0.04,0.0
2014-12-31,0.93,$-0.05,0.0
2014-09-30,1.14,$-0.05,0.0
2014-06-30,1.23,$-0.05,0.0
2014-03-31,1.47,$-0.06,0.0
2013-12-31,1.2,$-0.07,0.0
2013-09-30,1.08,$-0.07,0.0
2013-06-30,1.18,$-0.08,0.0
2013-03-31,1.38,$-0.05,0.0
2012-12-31,1.25,$-0.05,0.0
2012-09-30,1.49,$-0.04,0.0
2012-06-30,1.14,$-0.07,0.0
2012-03-31,1.31,$-0.14,0.0
2011-12-31,1.07,$-0.11,0.0
2011-09-30,0.91,$-0.11,0.0
2011-06-30,1.64,$-0.04,0.0
2011-03-31,2.03,$0.05,45.07
2010-12-31,2.92,$0.03,101.42
2010-09-30,1.41,$-0.02,0.0
2010-06-30,1.02,$-0.05,0.0
2010-03-31,1.25,$-0.12,0.0
2009-12-31,1.08,$-0.28,0.0
2009-09-30,1.59,$-0.26,0.0
