Aaron's Holdings Price to Free Cash Flow Ratio Historical Data,Aaron's Holdings Price to Free Cash Flow Ratio Historical Data,Aaron's Holdings Price to Free Cash Flow Ratio Historical Data,Aaron's Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,49.49,,11.85
2024-06-30,34.68,$4.18,8.3
2024-03-31,34.44,$3.95,8.72
2023-12-31,30.91,$4.18,7.39
2023-09-30,33.21,$5.21,6.38
2023-06-30,32.12,$5.92,5.43
2023-03-31,23.79,$5.98,3.98
2022-12-31,16.89,$4.47,3.78
2022-09-30,14.98,$4.67,3.2
2022-06-30,16.5,$0.53,31.09
2022-03-31,28.77,$1.81,15.93
2021-12-31,45.11,$1.14,39.57
2021-09-30,42.01,$4.34,9.68
