Advance Auto Parts Price to Free Cash Flow Ratio Historical Data,Advance Auto Parts Price to Free Cash Flow Ratio Historical Data,Advance Auto Parts Price to Free Cash Flow Ratio Historical Data,Advance Auto Parts Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.38,,4.88
2024-06-30,62.66,$8.07,7.77
2023-12-31,59.94,$0.87,68.86
2023-09-30,54.66,$3.18,17.18
2023-06-30,68.46,$-0.04,0.0
2023-03-31,117.01,$-1.87,0.0
2022-12-31,141.47,$10.41,13.58
2024-03-31,83.91,$1.90,44.17
2022-09-30,148.86,$3.59,41.43
2022-06-30,163.35,$4.38,37.31
2022-03-31,193.56,$6.04,32.04
2021-12-31,222.75,$12.71,17.53
2021-09-30,193.16,$12.89,14.98
2021-06-30,188.78,$15.68,12.04
2021-03-31,168.0,$15.15,11.09
2020-12-31,144.01,$10.19,14.14
2020-09-30,140.13,$9.67,14.49
2020-06-30,129.83,$7.55,17.19
2020-03-31,84.91,$5.48,15.5
2019-12-31,145.3,$8.51,17.08
2019-09-30,150.0,$8.34,17.99
2019-06-30,139.73,$8.62,16.21
2019-03-31,154.53,$8.75,17.67
2018-12-31,142.64,$8.37,17.04
2018-09-30,152.42,$10.16,15.0
2018-06-30,122.83,$8.88,13.84
2018-03-31,107.26,$3.71,28.89
2017-12-31,90.15,$2.66,33.9
2017-09-30,89.65,$2.35,38.16
2017-06-30,105.3,$1.97,53.53
2016-12-31,152.61,$3.60,42.38
2016-09-30,134.52,$9.78,13.75
2016-06-30,145.74,$7.32,19.9
2016-03-31,144.52,$8.28,17.45
2015-12-31,135.61,$10.60,12.79
2017-03-31,133.84,$4.47,29.92
2015-09-30,170.7,$6.26,27.27
2015-06-30,143.42,$6.58,21.8
2015-03-31,134.72,$6.90,19.54
2014-12-31,143.29,$6.56,21.85
2014-09-30,117.18,$6.53,17.95
2014-06-30,121.28,$5.02,24.17
2014-03-31,113.66,$4.21,27.0
2013-12-31,99.4,$5.03,19.76
2013-09-30,74.21,$5.24,14.16
2013-06-30,72.8,$5.03,14.47
2013-03-31,74.07,$4.72,15.7
2012-12-31,64.79,$5.68,11.41
2012-09-30,61.24,$5.99,10.23
2012-06-30,60.99,$6.75,9.03
2012-03-31,79.12,$7.08,11.18
2011-12-31,62.16,$7.29,8.52
2011-09-30,51.82,$5.47,9.47
2011-06-30,52.11,$4.89,10.66
2011-03-31,58.41,$2.23,26.21
2010-12-31,58.82,$0.14,432.85
2010-09-30,52.13,$1.70,30.73
2010-06-30,44.54,$2.03,21.95
2009-12-31,35.84,$5.41,6.63
2009-09-30,34.72,$8.25,4.21
