NuScale Power Price to Free Cash Flow Ratio Historical Data,NuScale Power Price to Free Cash Flow Ratio Historical Data,NuScale Power Price to Free Cash Flow Ratio Historical Data,NuScale Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.02,,0.0
2024-06-30,11.69,$-2.13,0.0
2024-03-31,5.31,$-2.32,0.0
2023-12-31,3.29,$-2.52,0.0
2023-09-30,4.9,$-2.17,0.0
2023-06-30,6.8,$-2.58,0.0
2023-03-31,9.09,$-3.60,0.0
2022-12-31,10.26,$-2.97,0.0
2022-09-30,11.68,$-2.29,0.0
2022-06-30,9.99,$-1.56,0.0
2022-03-31,10.47,$0.04,271.24
2021-12-31,10.03,0,0.0
2021-09-30,8.69,0,0.0
