Winmark Price to Free Cash Flow Ratio Historical Data,Winmark Price to Free Cash Flow Ratio Historical Data,Winmark Price to Free Cash Flow Ratio Historical Data,Winmark Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,382.02,,33.1
2024-09-30,382.93,$11.54,33.18
2024-06-30,351.76,$11.49,30.63
2024-03-31,359.95,$11.75,30.63
2023-12-31,414.64,$11.98,34.61
2023-09-30,362.19,$12.08,29.99
2023-06-30,322.03,$12.22,26.35
2023-03-31,309.61,$12.42,24.93
2022-12-31,227.3,$12.15,18.7
2022-09-30,205.44,$13.02,15.77
2022-06-30,185.13,$12.88,14.37
2022-03-31,207.56,$12.72,16.32
2021-12-31,233.78,$12.61,18.53
2021-09-30,196.35,$11.92,16.47
2021-06-30,175.01,$10.71,16.34
2021-03-31,169.47,$10.36,16.35
2020-12-31,168.66,$10.11,16.68
2020-09-30,153.35,$10.15,15.11
2020-06-30,152.28,$11.12,13.69
2020-03-31,113.27,$10.66,10.63
2019-12-31,176.07,$8.45,20.84
2019-09-30,156.39,$6.12,25.55
2019-06-30,153.29,$3.44,44.59
2018-12-31,140.43,$2.68,52.32
2018-09-30,146.46,$-1.33,0.0
2018-06-30,130.85,$1.20,109.4
2018-03-31,115.16,$0.92,125.43
2017-12-31,113.83,$-0.35,0.0
2019-03-31,166.72,$2.92,57.1
2017-09-30,115.8,$-0.83,0.0
2017-06-30,113.24,$-0.63,0.0
2017-03-31,99.15,$-1.09,0.0
2016-12-31,110.59,$-0.00,0.0
2016-09-30,92.42,$0.92,100.01
2016-06-30,87.21,$0.32,273.9
2016-03-31,85.64,$0.62,138.33
2015-12-31,81.23,$-0.00,0.0
2015-09-30,89.82,$-0.79,0.0
2015-06-30,85.91,$-0.14,0.0
2015-03-31,76.32,$-1.25,0.0
2014-12-31,75.69,$-1.92,0.0
2014-09-30,63.96,$-1.50,0.0
2014-06-30,60.54,$-1.28,0.0
2014-03-31,65.73,$-0.21,0.0
2013-12-31,75.8,$0.10,756.51
2013-09-30,60.28,$-0.22,0.0
2013-06-30,53.02,$-0.73,0.0
2013-03-31,51.44,$-0.73,0.0
2012-12-31,46.52,$-1.05,0.0
2012-09-30,44.1,$-0.57,0.0
2012-06-30,47.71,$-1.08,0.0
2011-12-31,43.4,$0.01,0.0
2011-09-30,34.94,$-0.72,0.0
2011-06-30,32.74,$-0.59,0.0
2011-03-31,34.83,$-0.62,0.0
2010-12-31,25.38,$-1.55,0.0
2012-03-31,47.18,$-0.92,0.0
2010-09-30,25.22,$-1.09,0.0
2010-06-30,25.22,$-0.48,0.0
2010-03-31,17.44,$-0.00,0.0
2009-12-31,16.18,$-0.48,0.0
