Jamf Holding Price to Free Cash Flow Ratio Historical Data,Jamf Holding Price to Free Cash Flow Ratio Historical Data,Jamf Holding Price to Free Cash Flow Ratio Historical Data,Jamf Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.47,,46.88
2024-06-30,16.5,$0.35,46.97
2024-03-31,18.35,$0.34,54.66
2023-12-31,18.06,$0.26,68.31
2023-09-30,17.66,$0.35,50.66
2023-06-30,19.52,$0.45,43.51
2023-03-31,19.42,$0.51,37.86
2022-12-31,21.3,$0.68,31.25
2022-09-30,22.16,$0.46,48.61
2022-06-30,24.77,$0.30,81.94
2022-03-31,34.81,$0.42,82.72
2021-12-31,38.01,$0.47,81.13
2021-09-30,38.52,$0.65,58.93
2021-06-30,33.57,$0.72,46.42
